clip_id,dataset_id,fold_r,split,soundscape,masker,smr_db,is_common_stimulus,audio_asset,video_asset,video_asset_id,start_s,end_s,licence_spdx,n_responses,mean_PAQ1_pleasant,mean_PAQ2_vibrant,mean_PAQ3_eventful,mean_PAQ4_chaotic,mean_PAQ5_annoying,mean_PAQ6_monotonous,mean_PAQ7_uneventful,mean_PAQ8_calm,mean_appropriate,mean_ISOPleasant,mean_ISOEventful,LAeq_dBA,loudness_N_sone,sharpness_S_acum,roughness_R_asper,fluctuation_strength_F_vacil,tonality_T_tu
ARAUS_000011,ARAUS,0,test,R1001_segment_binaural_44100.wav,traffic_10001.wav,0,False,,R1001_360,R1001_360,0.0,30.0,Other,5,2.4,1.8,3.0,3.4,3.8,4.0,2.4,2.0,4.0,-0.40857859999999996,0.0035534000000000065,62.2,15.9,1.46,0.0279,0.00847,0.217
ARAUS_000012,ARAUS,0,test,R1001_segment_binaural_44100.wav,water_10001.wav,0,False,,R1001_360,R1001_360,0.0,30.0,Other,5,2.0,2.4,3.2,4.2,3.6,3.4,2.6,2.0,2.6,-0.4,0.15,61.67999999999999,17.2,1.7600000000000002,0.0246,0.00846,0.199
ARAUS_000013,ARAUS,0,test,R1001_segment_binaural_44100.wav,water_10002.wav,0,False,,R1001_360,R1001_360,0.0,30.0,Other,5,2.6,2.2,3.2,3.2,3.2,3.8,2.8,2.2,3.6,-0.2525128,-0.0025123999999999867,62.21,16.8,1.43,0.0288,0.0098,0.191
ARAUS_000014,ARAUS,0,test,R1001_segment_binaural_44100.wav,wind_10001.wav,0,False,,R1001_360,R1001_360,0.0,30.0,Other,5,2.0,2.4,3.2,3.6,3.8,4.0,2.8,2.0,4.2,-0.42071059999999993,0.0414216,63.63000000000001,18.0,1.3,0.0333,0.00931,0.155
ARAUS_000015,ARAUS,0,test,R1002_segment_binaural_44100.wav,bird_10001.wav,0,False,,R1002_360,R1002_360,0.0,30.0,Other,5,3.8,3.0,3.0,2.6,2.0,2.4,2.8,3.4,3.8,0.2889088,0.006065799999999999,58.94,12.4,1.29,0.03,0.0238,0.083
ARAUS_000016,ARAUS,0,test,R1002_segment_binaural_44100.wav,bird_10002.wav,0,False,,R1002_360,R1002_360,0.0,30.0,Other,5,2.8,2.6,2.2,3.2,3.0,2.8,3.2,2.8,3.0,-0.06464460000000001,-0.0889088,57.79,11.9,1.23,0.0274,0.013800000000000002,0.0458
ARAUS_000017,ARAUS,0,test,R1002_segment_binaural_44100.wav,construction_10001.wav,0,False,,R1002_360,R1002_360,0.0,30.0,Other,5,1.8,2.0,3.6,3.8,4.0,3.0,2.0,1.6,1.8,-0.462132,0.2535532,58.92999999999999,13.3,1.26,0.028199999999999996,0.0106,0.0602
ARAUS_000018,ARAUS,0,test,R1002_segment_binaural_44100.wav,silence_10001.wav,0,False,,R1002_360,R1002_360,0.0,30.0,Other,5,3.6,2.2,2.2,1.8,2.4,3.6,4.2,4.0,4.2,0.1828426,-0.47071040000000003,57.08,11.5,1.2,0.0274,0.0102,0.042
ARAUS_000019,ARAUS,0,test,R1002_segment_binaural_44100.wav,traffic_10001.wav,0,False,,R1002_360,R1002_360,0.0,30.0,Other,5,3.4,2.6,3.0,3.2,2.8,3.6,3.4,3.0,3.2,-0.025736199999999987,-0.1,59.13000000000001,12.9,1.23,0.028000000000000004,0.0105,0.0503
ARAUS_000020,ARAUS,0,test,R1002_segment_binaural_44100.wav,water_10001.wav,0,False,,R1002_360,R1002_360,0.0,30.0,Other,5,3.6,2.6,2.6,2.6,2.4,3.2,3.4,3.6,2.8,0.1535534,-0.2,58.75,14.1,1.59,0.0245,0.00989,0.029600000000000005
ARAUS_000021,ARAUS,0,test,R1002_segment_binaural_44100.wav,water_10002.wav,0,False,,R1002_360,R1002_360,0.0,30.0,Other,5,3.4,2.0,2.4,2.6,2.2,3.6,3.6,3.2,2.4,0.051040600000000005,-0.2853554,59.15999999999999,13.5,1.24,0.0288,0.0108,0.028000000000000004
ARAUS_000022,ARAUS,0,test,R1002_segment_binaural_44100.wav,wind_10001.wav,0,False,,R1002_360,R1002_360,0.0,30.0,Other,5,3.2,1.8,2.4,2.6,3.0,3.8,3.4,3.0,3.0,-0.09644660000000001,-0.2792894,60.279999999999994,13.9,1.12,0.0329,0.00943,0.039
ARAUS_000023,ARAUS,0,test,R1005_segment_binaural_44100.wav,bird_10001.wav,0,False,,R1005_360,R1005_360,0.0,30.0,Other,5,3.6,2.4,2.4,1.8,2.8,2.8,3.4,3.0,3.6,0.14142139999999997,-0.2207106,57.260000000000005,9.85,1.49,0.0273,0.0231,0.0903
ARAUS_000024,ARAUS,0,test,R1005_segment_binaural_44100.wav,bird_10002.wav,0,False,,R1005_360,R1005_360,0.0,30.0,Other,5,2.6,2.8,3.0,3.4,3.2,3.4,2.8,2.4,2.8,-0.1792892,0.04999999999999999,55.85,9.4,1.42,0.0236,0.0147,0.048
ARAUS_000025,ARAUS,0,test,R1005_segment_binaural_44100.wav,construction_10001.wav,0,False,,R1005_360,R1005_360,0.0,30.0,Other,5,2.0,2.6,3.2,3.6,3.8,3.8,3.4,2.2,2.2,-0.3767768,-0.0060660000000000045,57.25,11.0,1.41,0.0252,0.00878,0.0692
ARAUS_000026,ARAUS,0,test,R1005_segment_binaural_44100.wav,silence_10001.wav,0,False,,R1005_360,R1005_360,0.0,30.0,Other,5,3.2,2.4,2.2,2.2,2.4,3.4,3.8,3.2,3.8,0.08284259999999999,-0.3121322,54.96,8.96,1.39,0.0228,0.007549999999999999,0.0458
ARAUS_000027,ARAUS,0,test,R1005_segment_binaural_44100.wav,traffic_10001.wav,0,False,,R1005_360,R1005_360,0.0,30.0,Other,5,3.4,2.4,2.8,3.0,2.8,3.0,3.2,3.2,3.0,0.032842800000000005,-0.1,57.489999999999995,10.9,1.39,0.0253,0.00669,0.05489999999999999
ARAUS_000028,ARAUS,0,test,R1005_segment_binaural_44100.wav,water_10001.wav,0,False,,R1005_360,R1005_360,0.0,30.0,Other,5,3.2,2.6,3.0,2.6,2.8,3.6,2.8,3.2,2.4,0.012132199999999992,-0.0964466,57.02,11.7,1.8,0.0215,0.007299999999999999,0.031
ARAUS_000029,ARAUS,0,test,R1005_segment_binaural_44100.wav,water_10002.wav,0,False,,R1005_360,R1005_360,0.0,30.0,Other,5,3.6,2.2,2.6,2.6,2.8,3.4,3.4,3.0,3.2,0.024264000000000008,-0.2000002,57.510000000000005,11.2,1.38,0.0253,0.00851,0.0303
ARAUS_000030,ARAUS,0,test,R1005_segment_binaural_44100.wav,wind_10001.wav,0,False,,R1005_360,R1005_360,0.0,30.0,Other,5,2.8,2.6,3.4,2.8,2.4,4.0,3.0,2.8,2.8,-0.06109119999999999,-0.0610916,58.8,12.0,1.21,0.0308,0.00802,0.0451
ARAUS_000031,ARAUS,0,test,R1006_segment_binaural_44100.wav,bird_10001.wav,0,False,,R1006_360,R1006_360,0.0,30.0,Other,5,2.6,3.2,3.2,3.6,3.6,2.6,2.4,1.8,3.0,-0.19142160000000003,0.2585786,64.95,17.1,1.52,0.0318,0.029100000000000004,0.134
ARAUS_000032,ARAUS,0,test,R1006_segment_binaural_44100.wav,bird_10002.wav,0,False,,R1006_360,R1006_360,0.0,30.0,Other,5,2.4,3.6,4.0,4.0,3.2,2.0,2.4,1.8,3.6,-0.1267768,0.44393399999999994,63.29,16.5,1.45,0.0283,0.0222,0.0897
ARAUS_000033,ARAUS,0,test,R1006_segment_binaural_44100.wav,construction_10001.wav,0,False,,R1006_360,R1006_360,0.0,30.0,Other,5,2.2,3.0,3.8,4.6,3.8,3.8,2.4,1.8,2.8,-0.42928920000000004,0.2914212,64.9,18.9,1.46,0.0308,0.0152,0.0978
ARAUS_000034,ARAUS,0,test,R1006_segment_binaural_44100.wav,silence_10001.wav,0,False,,R1006_360,R1006_360,0.0,30.0,Other,5,3.0,3.4,4.0,3.6,2.6,2.8,2.0,1.8,4.0,-0.04644659999999999,0.38284280000000004,62.17999999999999,15.9,1.43,0.0274,0.0195,0.0932
ARAUS_000035,ARAUS,0,test,R1006_segment_binaural_44100.wav,traffic_10001.wav,0,False,,R1006_360,R1006_360,0.0,30.0,Other,5,2.6,3.4,4.2,4.0,3.4,2.2,2.0,1.4,3.2,-0.1853554,0.5060662,65.22,18.4,1.43,0.0295,0.0161,0.11200000000000002
ARAUS_000036,ARAUS,0,test,R1006_segment_binaural_44100.wav,water_10001.wav,0,False,,R1006_360,R1006_360,0.0,30.0,Other,5,2.0,2.8,3.4,4.0,3.4,3.0,2.4,1.8,2.4,-0.3207106,0.24999980000000002,64.68,19.7,1.8199999999999998,0.026600000000000002,0.0129,0.0453
ARAUS_000037,ARAUS,0,test,R1006_segment_binaural_44100.wav,water_10002.wav,0,False,,R1006_360,R1006_360,0.0,30.0,Other,5,2.2,3.4,3.4,3.6,2.8,2.8,2.6,2.0,3.2,-0.1353554,0.243934,65.24,19.4,1.41,0.0316,0.017,0.0503
ARAUS_000038,ARAUS,0,test,R1006_segment_binaural_44100.wav,wind_10001.wav,0,False,,R1006_360,R1006_360,0.0,30.0,Other,5,2.4,3.2,4.2,3.8,2.8,2.6,2.0,2.2,3.8,-0.11464460000000001,0.3889086,66.67,21.0,1.24,0.0375,0.0161,0.0713
ARAUS_000039,ARAUS,0,test,R1007_segment_binaural_44100.wav,bird_10001.wav,0,False,,R1007_360,R1007_360,0.0,30.0,Other,5,4.6,2.6,2.0,1.4,1.4,2.8,3.8,4.6,4.6,0.5510408,-0.43535519999999994,48.23,6.07,1.36,0.0236,0.0144,0.0512
ARAUS_000040,ARAUS,0,test,R1007_segment_binaural_44100.wav,bird_10002.wav,0,False,,R1007_360,R1007_360,0.0,30.0,Other,5,2.8,2.2,2.4,2.2,3.0,3.2,3.4,3.0,3.2,-0.03535520000000001,-0.2353554,46.97,5.88,1.31,0.0223,0.00973,0.0244
ARAUS_000041,ARAUS,0,test,R1007_segment_binaural_44100.wav,construction_10001.wav,0,False,,R1007_360,R1007_360,0.0,30.0,Other,5,3.0,1.8,2.4,2.2,2.6,3.4,3.8,3.6,3.4,0.0267766,-0.3646446,48.11,6.56,1.3,0.0222,0.00838,0.0336
ARAUS_000042,ARAUS,0,test,R1007_segment_binaural_44100.wav,silence_10001.wav,0,False,,R1007_360,R1007_360,0.0,30.0,Other,5,4.4,2.0,1.8,1.4,1.4,2.8,3.8,4.6,4.6,0.48639600000000005,-0.4999998,46.28,5.67,1.29,0.0222,0.00854,0.0224
ARAUS_000043,ARAUS,0,test,R1007_segment_binaural_44100.wav,traffic_10001.wav,0,False,,R1007_360,R1007_360,0.0,30.0,Other,5,4.2,1.8,2.2,2.2,2.0,3.6,3.8,4.2,3.8,0.2424622,-0.44393380000000005,48.27,6.36,1.3,0.0225,0.007520000000000001,0.022
ARAUS_000044,ARAUS,0,test,R1007_segment_binaural_44100.wav,water_10001.wav,0,False,,R1007_360,R1007_360,0.0,30.0,Other,5,4.2,2.4,2.0,1.6,1.6,3.2,3.6,4.2,3.8,0.40104059999999997,-0.41464480000000004,47.94,6.85,1.59,0.0206,0.00796,0.015099999999999999
ARAUS_000045,ARAUS,0,test,R1007_segment_binaural_44100.wav,water_10002.wav,0,False,,R1007_360,R1007_360,0.0,30.0,Other,5,4.6,2.2,2.0,1.4,1.4,3.4,3.6,4.6,4.0,0.4778174,-0.487868,48.32,6.610000000000001,1.29,0.0227,0.00814,0.0156
ARAUS_000046,ARAUS,0,test,R1007_segment_binaural_44100.wav,wind_10001.wav,0,False,,R1007_360,R1007_360,0.0,30.0,Other,5,4.4,1.8,2.0,1.4,1.4,3.6,4.6,4.2,4.4,0.3838836,-0.606066,49.4,6.92,1.19,0.0252,0.00737,0.019
ARAUS_000047,ARAUS,0,test,R1008_segment_binaural_44100.wav,bird_10001.wav,0,False,,R1008_360,R1008_360,0.0,30.0,Other,5,2.0,2.8,3.8,3.6,4.0,2.0,2.0,2.0,2.8,-0.26568559999999997,0.3621318,71.96,23.1,1.18,0.05500000000000001,0.0653,0.151
ARAUS_000048,ARAUS,0,test,R1008_segment_binaural_44100.wav,bird_10002.wav,0,False,,R1008_360,R1008_360,0.0,30.0,Other,5,1.2,2.8,3.8,4.0,4.6,2.8,2.2,1.4,1.8,-0.5424618,0.356066,71.11,21.7,1.05,0.0483,0.0428,0.0906
ARAUS_000049,ARAUS,0,test,R1008_segment_binaural_44100.wav,construction_10001.wav,0,False,,R1008_360,R1008_360,0.0,30.0,Other,5,1.2,2.0,4.2,4.6,4.6,3.0,1.6,1.4,1.4,-0.6596194000000001,0.4303298,71.94,26.1,1.23,0.0424,0.0251,0.10900000000000001
ARAUS_000050,ARAUS,0,test,R1008_segment_binaural_44100.wav,silence_10001.wav,0,False,,R1008_360,R1008_360,0.0,30.0,Other,5,1.8,2.2,3.8,4.0,4.0,2.6,2.4,1.6,2.0,-0.4328424,0.2914214,70.63,20.4,0.985,0.0481,0.0298,0.0899
ARAUS_000051,ARAUS,0,test,R1008_segment_binaural_44100.wav,traffic_10001.wav,0,False,,R1008_360,R1008_360,0.0,30.0,Other,5,1.2,3.2,4.0,4.6,4.6,2.8,1.8,1.2,1.6,-0.5717513999999999,0.5060662,72.12,24.9,1.1,0.0474,0.0251,0.123
ARAUS_000052,ARAUS,0,test,R1008_segment_binaural_44100.wav,water_10001.wav,0,False,,R1008_360,R1008_360,0.0,30.0,Other,5,1.2,2.2,4.2,4.4,4.8,2.8,1.6,1.2,1.2,-0.6510408,0.4596192,71.81,28.5,1.65,0.0367,0.0243,0.0546
ARAUS_000053,ARAUS,0,test,R1008_segment_binaural_44100.wav,water_10002.wav,0,False,,R1008_360,R1008_360,0.0,30.0,Other,5,1.8,2.8,3.2,3.8,4.0,3.2,2.2,1.8,1.8,-0.4035534,0.2207106,72.1,26.4,1.21,0.0437,0.0242,0.0566
ARAUS_000054,ARAUS,0,test,R1008_segment_binaural_44100.wav,wind_10001.wav,0,False,,R1008_360,R1008_360,0.0,30.0,Other,5,1.8,2.2,4.0,4.2,4.4,3.2,2.0,1.4,1.8,-0.5474874,0.3389086,73.01,26.7,0.9789999999999999,0.0536,0.0175,0.0715
ARAUS_000055,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00006.wav,0,False,,R0005_360,R0005_360,0.0,30.0,Other,1,3.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,-0.146447,-0.5,49.56,6.93,1.13,0.0223,0.0109,0.142
ARAUS_000056,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00010.wav,3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,5.0,3.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.56066,-0.853553,50.45,7.42,1.33,0.0241,0.00923,0.11
ARAUS_000057,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00013.wav,-3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,5.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0,5.0,0.53033,-0.426777,51.59,7.29,1.36,0.0217,0.00771,0.14
ARAUS_000058,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00014.wav,-6,False,,R0005_360,R0005_360,0.0,30.0,Other,1,4.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,5.0,0.292893,-0.146447,53.04,7.43,1.27,0.03,0.0234,0.204
ARAUS_000059,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00014.wav,-3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,5.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,4.0,0.707107,-0.292893,51.74,7.27,1.24,0.0273,0.0189,0.184
ARAUS_000060,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00019.wav,-3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,5.0,2.0,1.0,2.0,1.0,4.0,4.0,5.0,4.0,0.487437,-0.676777,49.87,7.02,1.14,0.0223,0.0129,0.133
ARAUS_000061,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00019.wav,6,False,,R0005_360,R0005_360,0.0,30.0,Other,1,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,-0.103553,-0.5,49.1,6.86,1.13,0.0223,0.00774,0.116
ARAUS_000062,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00025.wav,-6,False,,R0005_360,R0005_360,0.0,30.0,Other,1,5.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,0.78033,-0.383883,50.67,7.13,1.15,0.022,0.0178,0.171
ARAUS_000063,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00028.wav,0,False,,R0005_360,R0005_360,0.0,30.0,Other,1,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,0.5,-0.207107,49.88,7.04,1.16,0.0226,0.0147,0.114
ARAUS_000064,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00035.wav,6,False,,R0005_360,R0005_360,0.0,30.0,Other,1,4.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,0.426777,-0.78033,49.54,6.92,1.13,0.0233,0.0195,0.109
ARAUS_000065,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00040.wav,-3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,4.0,4.0,2.0,1.0,1.0,1.0,4.0,5.0,4.0,0.823223,-0.28033,50.34,7.22,1.18,0.0221,0.0252,0.17
ARAUS_000066,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00044.wav,-6,False,,R0005_360,R0005_360,0.0,30.0,Other,1,4.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.28033,-0.426777,51.21,7.32,1.17,0.0257,0.0333,0.138
ARAUS_000067,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00047.wav,3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,2.0,2.0,2.0,4.0,5.0,4.0,5.0,2.0,2.0,-0.603553,-0.31066,49.72,7.05,1.13,0.0219,0.0122,0.158
ARAUS_000068,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00048.wav,-3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,5.0,4.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,0.56066,-0.707107,52.66,7.26,1.16,0.0235,0.0128,0.193
ARAUS_000069,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00055.wav,-3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,5.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.487437,-0.926777,49.91,7.03,1.14,0.0218,0.0212,0.26
ARAUS_000070,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00059.wav,-3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,5.0,2.0,2.0,1.0,2.0,5.0,4.0,5.0,5.0,0.383883,-0.71967,50.04,7.14,1.16,0.0218,0.0255,0.133
ARAUS_000071,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00078.wav,3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,4.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,0.323223,-0.53033,49.29,6.91,1.13,0.0224,0.00929,0.151
ARAUS_000072,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,bird_00079.wav,-3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,-0.103553,-0.5,50.14,7.16,1.17,0.0236,0.0263,0.12
ARAUS_000073,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,construction_00014.wav,-6,False,,R0005_360,R0005_360,0.0,30.0,Other,1,4.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,0.353553,-0.25,56.43,10.4,1.08,0.0301,0.0159,0.0615
ARAUS_000074,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,construction_00014.wav,-3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,4.0,3.0,2.0,1.0,2.0,4.0,4.0,5.0,1.0,0.426777,-0.573223,54.1,9.12,1.08,0.028,0.0135,0.0716
ARAUS_000075,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,construction_00014.wav,0,False,,R0005_360,R0005_360,0.0,30.0,Other,1,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,0.073223,-0.176777,52.19,8.2,1.09,0.0265,0.0114,0.0821
ARAUS_000076,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,construction_00015.wav,0,False,,R0005_360,R0005_360,0.0,30.0,Other,1,4.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,0.103553,-0.292893,50.65,8.17,1.54,0.0198,0.00887,0.111
ARAUS_000077,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,construction_00015.wav,3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,2.0,2.0,2.0,2.0,5.0,2.0,4.0,4.0,2.0,-0.164214,-0.353553,49.86,7.66,1.44,0.0204,0.00771,0.108
ARAUS_000078,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,construction_00015.wav,6,False,,R0005_360,R0005_360,0.0,30.0,Other,1,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,0.5,0.207107,49.38,7.28,1.33,0.0212,0.00723,0.107
ARAUS_000079,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,construction_00024.wav,-6,False,,R0005_360,R0005_360,0.0,30.0,Other,1,1.0,3.0,3.0,4.0,5.0,4.0,4.0,1.0,1.0,-0.707107,0.042893,52.32,8.68,1.43,0.0309,0.00883,0.107
ARAUS_000080,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,construction_00024.wav,0,False,,R0005_360,R0005_360,0.0,30.0,Other,1,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,0.103553,-0.25,50.06,7.56,1.28,0.0235,0.00724,0.104
ARAUS_000081,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,construction_00025.wav,-6,False,,R0005_360,R0005_360,0.0,30.0,Other,1,1.0,1.0,1.0,4.0,5.0,5.0,5.0,1.0,1.0,-0.926777,-0.487437,52.85,8.83,1.29,0.0223,0.0119,0.108
ARAUS_000082,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,construction_00025.wav,6,False,,R0005_360,R0005_360,0.0,30.0,Other,1,4.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,0.426777,-0.426777,49.3,7.02,1.15,0.022,0.00754,0.109
ARAUS_000083,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,construction_00026.wav,-6,False,,R0005_360,R0005_360,0.0,30.0,Other,1,2.0,2.0,2.0,3.0,3.0,5.0,4.0,2.0,4.0,-0.396447,-0.353553,53.14,9.7,1.65,0.0181,0.00715,0.0823
ARAUS_000084,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,construction_00026.wav,0,False,,R0005_360,R0005_360,0.0,30.0,Other,1,3.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,5.0,0.073223,-0.676777,50.41,8.11,1.44,0.019,0.00711,0.0941
ARAUS_000085,ARAUS,1,train,R0005_segment_binaural_44100_1.wav,construction_00026.wav,3,False,,R0005_360,R0005_360,0.0,30.0,Other,1,4.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.31066,-1.0,49.71,7.6,1.34,0.0199,0.00716,0.0996
