response_id,clip_id,participant_id,fold_r,stimulus_index,time_taken_s,is_attention,language,age,gender,PAQ1_pleasant,PAQ2_vibrant,PAQ3_eventful,PAQ4_chaotic,PAQ5_annoying,PAQ6_monotonous,PAQ7_uneventful,PAQ8_calm,appropriate,ISOPleasant,ISOEventful,LAeq_dBA,loudness_N_sone,sharpness_S_acum,roughness_R_asper,fluctuation_strength_F_vacil,tonality_T_tu
ARAUS_ARAUS_00002_S36,ARAUS_006377,ARAUS_00002,2,36,66.204,0,1,22,1,5,1,2,1,1,3,3,5,3,0.56066,-0.542893,53.02,8.01,1.35,0.0283,0.0105,0.301
ARAUS_ARAUS_00002_S37,ARAUS_007020,ARAUS_00002,2,37,83.949,0,1,22,1,2,1,4,2,1,2,2,2,2,0.03033,0.133883,66.41,19.8,1.34,0.0338,0.0131,0.121
ARAUS_ARAUS_00002_S38,ARAUS_005275,ARAUS_00002,2,38,51.677,0,1,22,1,5,1,1,1,1,3,4,5,5,0.56066,-0.75,56.77,11.4,1.97,0.0203,0.00992,0.0145
ARAUS_ARAUS_00002_S39,ARAUS_008033,ARAUS_00002,2,39,59.796,0,1,22,1,4,2,2,1,1,3,3,4,4,0.457107,-0.396447,55.07,9.98,1.44,0.0237,0.0157,0.122
ARAUS_ARAUS_00002_S40,ARAUS_004629,ARAUS_00002,2,40,58.478,0,1,22,1,4,2,2,1,1,4,4,4,5,0.383883,-0.573223,63.59,18.2,2.05,0.023,0.0109,0.0203
ARAUS_ARAUS_00002_S41,ARAUS_007412,ARAUS_00002,2,41,80.289,0,1,22,1,5,2,1,1,1,3,5,5,5,0.633883,-0.78033,53.47,8.81,0.982,0.0281,0.00831,0.165
ARAUS_ARAUS_00002_S42,ARAUS_007512,ARAUS_00002,2,42,66.866,0,1,22,1,3,3,4,1,1,1,2,2,4,0.426777,0.28033,69.76,27.2,1.72,0.033,0.011,0.0626
ARAUS_ARAUS_00002_S43,ARAUS_006441,ARAUS_00002,2,43,79.134,0,1,22,1,2,1,3,1,5,4,2,4,3,-0.31066,-0.335786,55.86,9.92,1.35,0.025,0.0442,0.185
ARAUS_ARAUS_00002_S44,ARAUS_006246,ARAUS_00002,2,44,96.134,0,1,22,1,3,1,2,1,3,4,3,2,3,-0.146447,-0.396447,61.1,16.0,1.33,0.0301,0.0186,0.123
ARAUS_ARAUS_00002_S45,ARAUS_000002,ARAUS_00002,-1,45,103.618,0,1,22,1,3,5,4,4,1,1,1,1,4,0.28033,0.823223,73.47,30.9,1.37,0.0378,0.0328,1.37
ARAUS_ARAUS_00003_S01,ARAUS_000003,ARAUS_00003,-1,1,102.503,0,0,26,1,3,4,4,3,3,1,2,2,3,0.146447,0.5,73.47,30.9,1.37,0.0378,0.0328,1.37
ARAUS_ARAUS_00003_S02,ARAUS_009669,ARAUS_00003,3,2,74.769,0,0,26,1,2,2,3,2,4,2,3,2,3,-0.207107,0.0,69.47,23.0,1.77,0.0374,0.0123,0.271
ARAUS_ARAUS_00003_S03,ARAUS_010855,ARAUS_00003,3,3,51.046,0,0,26,1,4,2,2,1,3,2,4,4,5,0.323223,-0.426777,48.04,4.92,1.97,0.0119,0.019,0.076
ARAUS_ARAUS_00003_S04,ARAUS_010291,ARAUS_00003,3,4,59.063,0,0,26,1,2,2,2,2,4,2,4,2,2,-0.207107,-0.207107,71.29,25.6,1.7,0.0343,0.0444,0.307
ARAUS_ARAUS_00003_S05,ARAUS_012533,ARAUS_00003,3,5,48.776,0,0,26,1,3,3,3,3,3,4,3,2,1,-0.146447,0.0,65.11,17.0,1.41,0.0363,0.0233,0.168
ARAUS_ARAUS_00003_S06,ARAUS_009030,ARAUS_00003,3,6,42.025,0,0,26,1,3,2,2,2,2,4,4,3,1,0.03033,-0.426777,62.01,16.0,1.39,0.0333,0.0294,0.075
ARAUS_ARAUS_00003_S07,ARAUS_012849,ARAUS_00003,3,7,61.847,0,0,26,1,4,4,3,2,1,1,3,3,5,0.603553,0.146447,68.34,21.8,1.02,0.0434,0.0546,0.522
ARAUS_ARAUS_00003_S08,ARAUS_011557,ARAUS_00003,3,8,61.268,0,0,26,1,3,1,2,2,3,3,3,2,3,-0.146447,-0.25,65.48,20.1,1.29,0.0345,0.0112,0.45
ARAUS_ARAUS_00003_S09,ARAUS_009480,ARAUS_00003,3,9,40.532,0,0,26,1,2,2,2,3,4,3,4,2,1,-0.353553,-0.207107,62.45,15.7,1.47,0.0319,0.0281,0.167
ARAUS_ARAUS_00003_S10,ARAUS_009897,ARAUS_00003,3,10,55.065,0,0,26,1,4,3,2,3,2,2,2,4,1,0.353553,0.0,59.05,12.1,1.13,0.0332,0.0208,0.115
ARAUS_ARAUS_00003_S11,ARAUS_010520,ARAUS_00003,3,11,60.792,0,0,26,1,1,3,3,4,5,1,2,1,2,-0.487437,0.46967,66.83,21.1,1.29,0.035,0.00995,0.114
ARAUS_ARAUS_00003_S12,ARAUS_011265,ARAUS_00003,3,12,43.0,0,0,26,1,1,2,4,5,5,1,1,1,1,-0.633883,0.676777,52.84,9.17,1.77,0.0181,0.0105,0.238
ARAUS_ARAUS_00003_S13,ARAUS_010532,ARAUS_00003,3,13,46.424,0,0,26,1,2,2,4,4,4,1,2,1,2,-0.353553,0.5,63.21,18.8,1.69,0.0272,0.00915,0.0566
ARAUS_ARAUS_00003_S14,ARAUS_011634,ARAUS_00003,3,14,34.736,0,0,26,1,1,3,4,5,4,1,1,1,1,-0.457107,0.75,71.42,27.6,1.33,0.0386,0.027,0.415
ARAUS_ARAUS_00003_S15,ARAUS_012283,ARAUS_00003,3,15,69.447,0,0,26,1,2,3,4,4,3,1,2,2,2,-0.103553,0.5,61.75,12.1,1.31,0.0395,0.142,0.161
ARAUS_ARAUS_00003_S16,ARAUS_010259,ARAUS_00003,3,16,34.584,0,0,26,1,2,3,4,4,4,2,2,2,1,-0.28033,0.426777,68.33,25.7,1.55,0.0329,0.0118,0.202
ARAUS_ARAUS_00003_S17,ARAUS_010538,ARAUS_00003,3,17,40.375,0,0,26,1,2,2,2,2,3,4,3,1,2,-0.323223,-0.176777,62.42,17.0,1.41,0.0294,0.0099,0.0768
ARAUS_ARAUS_00003_S18,ARAUS_011796,ARAUS_00003,3,18,39.993,0,0,26,1,2,2,4,3,4,2,2,2,1,-0.28033,0.28033,67.95,23.3,1.24,0.0354,0.0111,0.0803
ARAUS_ARAUS_00003_S19,ARAUS_012399,ARAUS_00003,3,19,41.623,0,0,26,1,1,3,4,5,5,1,1,1,1,-0.56066,0.75,68.02,20.5,1.28,0.0447,0.0219,0.432
ARAUS_ARAUS_00003_S20,ARAUS_011275,ARAUS_00003,3,20,40.376,0,0,26,1,4,2,2,2,2,2,3,3,3,0.28033,-0.176777,49.18,7.18,1.35,0.0192,0.0101,0.28
ARAUS_ARAUS_00003_S21,ARAUS_011190,ARAUS_00003,3,21,42.271,0,0,26,1,3,3,4,3,3,2,2,3,2,0.073223,0.28033,54.78,9.36,1.29,0.0228,0.0108,0.302
ARAUS_ARAUS_00003_S22,ARAUS_010246,ARAUS_00003,3,22,41.849,0,0,26,1,2,3,4,4,3,2,2,2,1,-0.176777,0.426777,67.89,22.9,1.28,0.0386,0.0116,0.233
ARAUS_ARAUS_00003_S23,ARAUS_013188,ARAUS_00003,3,23,51.327,0,0,26,1,3,2,2,2,3,3,3,3,5,0.0,-0.25,60.74,12.5,1.15,0.0364,0.0339,0.061
ARAUS_ARAUS_00003_S24,ARAUS_011193,ARAUS_00003,3,24,57.707,0,0,26,1,2,1,3,4,4,2,2,2,3,-0.426777,0.176777,56.08,11.2,1.32,0.0233,0.0109,0.221
ARAUS_ARAUS_00003_S25,ARAUS_000003,ARAUS_00003,-1,25,32.638,1,0,26,1,3,3,3,3,3,3,3,3,3,0.0,0.0,73.47,30.9,1.37,0.0378,0.0328,1.37
ARAUS_ARAUS_00003_S26,ARAUS_009894,ARAUS_00003,3,26,44.222,0,0,26,1,4,3,3,4,2,3,3,4,2,0.207107,0.0,59.35,13.0,1.4,0.0284,0.0215,0.145
ARAUS_ARAUS_00003_S27,ARAUS_012016,ARAUS_00003,3,27,53.673,0,0,26,1,2,2,4,4,4,1,1,1,3,-0.353553,0.603553,67.11,21.6,1.69,0.032,0.0113,0.141
ARAUS_ARAUS_00003_S28,ARAUS_011787,ARAUS_00003,3,28,40.928,0,0,26,1,3,2,4,3,3,2,2,3,2,0.0,0.207107,64.97,18.8,1.31,0.0352,0.00995,0.158
ARAUS_ARAUS_00003_S29,ARAUS_011081,ARAUS_00003,3,29,57.143,0,0,26,1,3,3,3,3,3,5,4,3,4,-0.146447,-0.25,58.31,12.5,1.67,0.0189,0.0143,0.0668
ARAUS_ARAUS_00003_S30,ARAUS_011971,ARAUS_00003,3,30,35.937,0,0,26,1,2,2,4,3,5,1,2,1,1,-0.383883,0.426777,70.69,27.8,1.46,0.0457,0.0268,0.448
ARAUS_ARAUS_00003_S31,ARAUS_010611,ARAUS_00003,3,31,39.111,0,0,26,1,2,3,4,4,4,2,2,2,1,-0.28033,0.426777,58.81,13.6,1.18,0.029,0.0152,0.36
ARAUS_ARAUS_00003_S32,ARAUS_012221,ARAUS_00003,3,32,58.36,0,0,26,1,3,2,2,4,3,3,3,3,5,-0.146447,-0.103553,58.28,10.6,1.18,0.0319,0.0157,0.158
ARAUS_ARAUS_00003_S33,ARAUS_010149,ARAUS_00003,3,33,43.64,0,0,26,1,3,2,2,2,3,5,4,3,1,-0.146447,-0.5,52.57,8.57,1.57,0.026,0.0122,0.0723
ARAUS_ARAUS_00003_S34,ARAUS_010691,ARAUS_00003,3,34,48.159,0,0,26,1,2,2,3,3,3,3,3,1,2,-0.323223,0.073223,59.06,13.6,1.15,0.0284,0.0145,0.183
ARAUS_ARAUS_00003_S35,ARAUS_012282,ARAUS_00003,3,35,53.864,0,0,26,1,3,3,3,4,3,3,3,3,5,-0.073223,0.073223,60.23,11.4,1.23,0.0404,0.0294,0.147
ARAUS_ARAUS_00003_S36,ARAUS_010646,ARAUS_00003,3,36,44.488,0,0,26,1,2,2,2,4,4,3,3,1,2,-0.5,0.042893,55.84,11.7,1.4,0.0244,0.0192,0.399
ARAUS_ARAUS_00003_S37,ARAUS_009075,ARAUS_00003,3,37,42.288,0,0,26,1,2,2,2,2,3,5,4,2,4,-0.323223,-0.426777,66.0,22.6,1.96,0.0258,0.00915,0.0734
