clip_id,dataset_id,recording,audio_asset,licence_spdx,n_responses,n_sources,mean_annoyance,source_aircraft,source_bells,source_bird_tweet,source_bus,source_car,source_children,source_construction,source_dog_bark,source_footsteps,source_general_traffic,source_horn,source_laughter,source_motorcycle,source_music,source_non_identifiable,source_other,source_rail,source_rustling_leaves,source_screeching_brakes,source_shouting,source_siren,source_speech,source_ventilation,source_water
DeLTA_sc122_1,DeLTA,sc122_1.mp3,DeLTA_mp3_boost_8dB/sc122_1.mp3,CC-BY-4.0,3,3,4.66667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
DeLTA_tm129_2,DeLTA,tm129_2.mp3,DeLTA_mp3_boost_8dB/tm129_2.mp3,CC-BY-4.0,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DeLTA_ML101_2,DeLTA,ML101_2.mp3,DeLTA_mp3_boost_8dB/ML101_2.mp3,CC-BY-4.0,4,3,4.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
DeLTA_m210_2,DeLTA,m210_2.mp3,DeLTA_mp3_boost_8dB/m210_2.mp3,CC-BY-4.0,4,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DeLTA_MG108_2,DeLTA,MG108_2.mp3,DeLTA_mp3_boost_8dB/MG108_2.mp3,CC-BY-4.0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
DeLTA_Rp208_2,DeLTA,Rp208_2.mp3,DeLTA_mp3_boost_8dB/Rp208_2.mp3,CC-BY-4.0,4,1,1.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_Mc405_1,DeLTA,Mc405_1.mp3,DeLTA_mp3_boost_8dB/Mc405_1.mp3,CC-BY-4.0,4,2,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
DeLTA_ET431_2,DeLTA,ET431_2.mp3,DeLTA_mp3_boost_8dB/ET431_2.mp3,CC-BY-4.0,4,1,4.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_m15_1,DeLTA,m15_1.mp3,DeLTA_mp3_boost_8dB/m15_1.mp3,CC-BY-4.0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DeLTA_SC207_2,DeLTA,SC207_2.mp3,DeLTA_mp3_boost_8dB/SC207_2.mp3,CC-BY-4.0,4,2,3.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DeLTA_ML130_2,DeLTA,ML130_2.mp3,DeLTA_mp3_boost_8dB/ML130_2.mp3,CC-BY-4.0,4,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
DeLTA_CT539_1,DeLTA,CT539_1.mp3,DeLTA_mp3_boost_8dB/CT539_1.mp3,CC-BY-4.0,4,2,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DeLTA_Mc407_2,DeLTA,Mc407_2.mp3,DeLTA_mp3_boost_8dB/Mc407_2.mp3,CC-BY-4.0,4,4,2.75,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_MG310_2,DeLTA,MG310_2.mp3,DeLTA_mp3_boost_8dB/MG310_2.mp3,CC-BY-4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
DeLTA_CT402_1,DeLTA,CT402_1.mp3,DeLTA_mp3_boost_8dB/CT402_1.mp3,CC-BY-4.0,4,2,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DeLTA_ts323_2,DeLTA,ts323_2.mp3,DeLTA_mp3_boost_8dB/ts323_2.mp3,CC-BY-4.0,4,3,1.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DeLTA_ts311_2,DeLTA,ts311_2.mp3,DeLTA_mp3_boost_8dB/ts311_2.mp3,CC-BY-4.0,4,4,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
DeLTA_MG304_2,DeLTA,MG304_2.mp3,DeLTA_mp3_boost_8dB/MG304_2.mp3,CC-BY-4.0,4,4,3.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
DeLTA_ET207_1,DeLTA,ET207_1.mp3,DeLTA_mp3_boost_8dB/ET207_1.mp3,CC-BY-4.0,4,4,4.25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DeLTA_Rf134_1,DeLTA,Rf134_1.mp3,DeLTA_mp3_boost_8dB/Rf134_1.mp3,CC-BY-4.0,4,4,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_MG212_1,DeLTA,MG212_1.mp3,DeLTA_mp3_boost_8dB/MG212_1.mp3,CC-BY-4.0,4,3,6.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_ET314_2,DeLTA,ET314_2.mp3,DeLTA_mp3_boost_8dB/ET314_2.mp3,CC-BY-4.0,4,4,4.5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DeLTA_Rs330_1,DeLTA,Rs330_1.mp3,DeLTA_mp3_boost_8dB/Rs330_1.mp3,CC-BY-4.0,4,3,3.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_Rs324_2,DeLTA,Rs324_2.mp3,DeLTA_mp3_boost_8dB/Rs324_2.mp3,CC-BY-4.0,4,1,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_Pl109_1,DeLTA,Pl109_1.mp3,DeLTA_mp3_boost_8dB/Pl109_1.mp3,CC-BY-4.0,4,3,4.75,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_SM505_1,DeLTA,SM505_1.mp3,DeLTA_mp3_boost_8dB/SM505_1.mp3,CC-BY-4.0,4,4,4.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
DeLTA_MC515_2,DeLTA,MC515_2.mp3,DeLTA_mp3_boost_8dB/MC515_2.mp3,CC-BY-4.0,4,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DeLTA_TM431_1,DeLTA,TM431_1.mp3,DeLTA_mp3_boost_8dB/TM431_1.mp3,CC-BY-4.0,4,4,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DeLTA_Pl209_2,DeLTA,Pl209_2.mp3,DeLTA_mp3_boost_8dB/Pl209_2.mp3,CC-BY-4.0,4,6,3.75,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
DeLTA_RS412_2,DeLTA,RS412_2.mp3,DeLTA_mp3_boost_8dB/RS412_2.mp3,CC-BY-4.0,4,2,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_ML214_1,DeLTA,ML214_1.mp3,DeLTA_mp3_boost_8dB/ML214_1.mp3,CC-BY-4.0,4,3,4.75,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
DeLTA_sc143_1,DeLTA,sc143_1.mp3,DeLTA_mp3_boost_8dB/sc143_1.mp3,CC-BY-4.0,4,3,2.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_Rp126_1,DeLTA,Rp126_1.mp3,DeLTA_mp3_boost_8dB/Rp126_1.mp3,CC-BY-4.0,4,2,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DeLTA_Pl222_2,DeLTA,Pl222_2.mp3,DeLTA_mp3_boost_8dB/Pl222_2.mp3,CC-BY-4.0,4,4,2.5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_MG328_2,DeLTA,MG328_2.mp3,DeLTA_mp3_boost_8dB/MG328_2.mp3,CC-BY-4.0,4,3,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
DeLTA_CT541_2,DeLTA,CT541_2.mp3,DeLTA_mp3_boost_8dB/CT541_2.mp3,CC-BY-4.0,4,4,3.25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
DeLTA_RS440_1,DeLTA,RS440_1.mp3,DeLTA_mp3_boost_8dB/RS440_1.mp3,CC-BY-4.0,4,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_CT504_2,DeLTA,CT504_2.mp3,DeLTA_mp3_boost_8dB/CT504_2.mp3,CC-BY-4.0,4,2,4.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_RF330_1,DeLTA,RF330_1.mp3,DeLTA_mp3_boost_8dB/RF330_1.mp3,CC-BY-4.0,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_Pl228_1,DeLTA,Pl228_1.mp3,DeLTA_mp3_boost_8dB/Pl228_1.mp3,CC-BY-4.0,4,2,2.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_sr111_2,DeLTA,sr111_2.mp3,DeLTA_mp3_boost_8dB/sr111_2.mp3,CC-BY-4.0,4,4,3.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_CT327_2,DeLTA,CT327_2.mp3,DeLTA_mp3_boost_8dB/CT327_2.mp3,CC-BY-4.0,4,3,3.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_MG324_2,DeLTA,MG324_2.mp3,DeLTA_mp3_boost_8dB/MG324_2.mp3,CC-BY-4.0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DeLTA_RP328_1,DeLTA,RP328_1.mp3,DeLTA_mp3_boost_8dB/RP328_1.mp3,CC-BY-4.0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DeLTA_CT315_1,DeLTA,CT315_1.mp3,DeLTA_mp3_boost_8dB/CT315_1.mp3,CC-BY-4.0,4,6,3.25,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
DeLTA_Ts416_2,DeLTA,Ts416_2.mp3,DeLTA_mp3_boost_8dB/Ts416_2.mp3,CC-BY-4.0,4,6,3.75,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
DeLTA_sc138_2,DeLTA,sc138_2.mp3,DeLTA_mp3_boost_8dB/sc138_2.mp3,CC-BY-4.0,4,4,3.5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_Rp226_1,DeLTA,Rp226_1.mp3,DeLTA_mp3_boost_8dB/Rp226_1.mp3,CC-BY-4.0,4,2,1.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DeLTA_Rs106_1,DeLTA,Rs106_1.mp3,DeLTA_mp3_boost_8dB/Rs106_1.mp3,CC-BY-4.0,4,1,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DeLTA_tm219_1,DeLTA,tm219_1.mp3,DeLTA_mp3_boost_8dB/tm219_1.mp3,CC-BY-4.0,4,5,3.5,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
DeLTA_ML101_1,DeLTA,ML101_1.mp3,DeLTA_mp3_boost_8dB/ML101_1.mp3,CC-BY-4.0,4,5,6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
DeLTA_TM441_2,DeLTA,TM441_2.mp3,DeLTA_mp3_boost_8dB/TM441_2.mp3,CC-BY-4.0,4,4,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
DeLTA_ET303_1,DeLTA,ET303_1.mp3,DeLTA_mp3_boost_8dB/ET303_1.mp3,CC-BY-4.0,4,5,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
DeLTA_TM431_2,DeLTA,TM431_2.mp3,DeLTA_mp3_boost_8dB/TM431_2.mp3,CC-BY-4.0,4,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
DeLTA_m23_1,DeLTA,m23_1.mp3,DeLTA_mp3_boost_8dB/m23_1.mp3,CC-BY-4.0,4,4,1.75,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
DeLTA_MC538_2,DeLTA,MC538_2.mp3,DeLTA_mp3_boost_8dB/MC538_2.mp3,CC-BY-4.0,4,3,2.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_RF335_2,DeLTA,RF335_2.mp3,DeLTA_mp3_boost_8dB/RF335_2.mp3,CC-BY-4.0,4,2,2.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_NP113_1,DeLTA,NP113_1.mp3,DeLTA_mp3_boost_8dB/NP113_1.mp3,CC-BY-4.0,4,6,3.5,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DeLTA_Pl231_1,DeLTA,Pl231_1.mp3,DeLTA_mp3_boost_8dB/Pl231_1.mp3,CC-BY-4.0,4,3,1.25,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_RF324_1,DeLTA,RF324_1.mp3,DeLTA_mp3_boost_8dB/RF324_1.mp3,CC-BY-4.0,4,4,1.75,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_CT301_1,DeLTA,CT301_1.mp3,DeLTA_mp3_boost_8dB/CT301_1.mp3,CC-BY-4.0,4,4,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_PL317_2,DeLTA,PL317_2.mp3,DeLTA_mp3_boost_8dB/PL317_2.mp3,CC-BY-4.0,4,3,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
DeLTA_2cv41_1,DeLTA,2cv41_1.mp3,DeLTA_mp3_boost_8dB/2cv41_1.mp3,CC-BY-4.0,4,4,4.25,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_ET212_1,DeLTA,ET212_1.mp3,DeLTA_mp3_boost_8dB/ET212_1.mp3,CC-BY-4.0,4,4,3.75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
DeLTA_SR244_1,DeLTA,SR244_1.mp3,DeLTA_mp3_boost_8dB/SR244_1.mp3,CC-BY-4.0,4,1,4.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_Rs212_1,DeLTA,Rs212_1.mp3,DeLTA_mp3_boost_8dB/Rs212_1.mp3,CC-BY-4.0,4,3,4.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
DeLTA_MG309_2,DeLTA,MG309_2.mp3,DeLTA_mp3_boost_8dB/MG309_2.mp3,CC-BY-4.0,4,2,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_tm108_2,DeLTA,tm108_2.mp3,DeLTA_mp3_boost_8dB/tm108_2.mp3,CC-BY-4.0,4,5,4.75,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_ML214_2,DeLTA,ML214_2.mp3,DeLTA_mp3_boost_8dB/ML214_2.mp3,CC-BY-4.0,4,4,5.75,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_SC213_1,DeLTA,SC213_1.mp3,DeLTA_mp3_boost_8dB/SC213_1.mp3,CC-BY-4.0,4,3,4.75,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DeLTA_tm118_2,DeLTA,tm118_2.mp3,DeLTA_mp3_boost_8dB/tm118_2.mp3,CC-BY-4.0,4,3,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_SM506_1,DeLTA,SM506_1.mp3,DeLTA_mp3_boost_8dB/SM506_1.mp3,CC-BY-4.0,4,3,3.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
DeLTA_Rs224_1,DeLTA,Rs224_1.mp3,DeLTA_mp3_boost_8dB/Rs224_1.mp3,CC-BY-4.0,4,4,5.75,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
DeLTA_RP335_2,DeLTA,RP335_2.mp3,DeLTA_mp3_boost_8dB/RP335_2.mp3,CC-BY-4.0,4,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
DeLTA_ts209_2,DeLTA,ts209_2.mp3,DeLTA_mp3_boost_8dB/ts209_2.mp3,CC-BY-4.0,4,5,4,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
DeLTA_cp19_1,DeLTA,cp19_1.mp3,DeLTA_mp3_boost_8dB/cp19_1.mp3,CC-BY-4.0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DeLTA_Rp208_1,DeLTA,Rp208_1.mp3,DeLTA_mp3_boost_8dB/Rp208_1.mp3,CC-BY-4.0,4,2,2.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_RS405_2,DeLTA,RS405_2.mp3,DeLTA_mp3_boost_8dB/RS405_2.mp3,CC-BY-4.0,4,4,3.75,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
DeLTA_Rp133_2,DeLTA,Rp133_2.mp3,DeLTA_mp3_boost_8dB/Rp133_2.mp3,CC-BY-4.0,4,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DeLTA_Mc418_2,DeLTA,Mc418_2.mp3,DeLTA_mp3_boost_8dB/Mc418_2.mp3,CC-BY-4.0,4,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_TS527_2,DeLTA,TS527_2.mp3,DeLTA_mp3_boost_8dB/TS527_2.mp3,CC-BY-4.0,4,3,3.75,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_cp13_2,DeLTA,cp13_2.mp3,DeLTA_mp3_boost_8dB/cp13_2.mp3,CC-BY-4.0,4,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_2cv34_1,DeLTA,2cv34_1.mp3,DeLTA_mp3_boost_8dB/2cv34_1.mp3,CC-BY-4.0,4,2,3.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_TS531_2,DeLTA,TS531_2.mp3,DeLTA_mp3_boost_8dB/TS531_2.mp3,CC-BY-4.0,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeLTA_SM419_2,DeLTA,SM419_2.mp3,DeLTA_mp3_boost_8dB/SM419_2.mp3,CC-BY-4.0,4,2,1.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DeLTA_sc108_2,DeLTA,sc108_2.mp3,DeLTA_mp3_boost_8dB/sc108_2.mp3,CC-BY-4.0,4,3,3.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_ET101_1,DeLTA,ET101_1.mp3,DeLTA_mp3_boost_8dB/ET101_1.mp3,CC-BY-4.0,4,4,4.25,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_mc102_2,DeLTA,mc102_2.mp3,DeLTA_mp3_boost_8dB/mc102_2.mp3,CC-BY-4.0,4,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DeLTA_SM410_1,DeLTA,SM410_1.mp3,DeLTA_mp3_boost_8dB/SM410_1.mp3,CC-BY-4.0,4,3,2.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_ML133_2,DeLTA,ML133_2.mp3,DeLTA_mp3_boost_8dB/ML133_2.mp3,CC-BY-4.0,4,4,4.75,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_Mc301_1,DeLTA,Mc301_1.mp3,DeLTA_mp3_boost_8dB/Mc301_1.mp3,CC-BY-4.0,4,4,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_cv41_1,DeLTA,cv41_1.mp3,DeLTA_mp3_boost_8dB/cv41_1.mp3,CC-BY-4.0,4,3,3.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_ts216_2,DeLTA,ts216_2.mp3,DeLTA_mp3_boost_8dB/ts216_2.mp3,CC-BY-4.0,4,5,1.75,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DeLTA_PL334_2,DeLTA,PL334_2.mp3,DeLTA_mp3_boost_8dB/PL334_2.mp3,CC-BY-4.0,4,4,2.75,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
