clip_id,dataset_id,LocationID,SessionID,GroupID,latitude,longitude,binaural_start_s,binaural_end_s,audio_asset,video_asset,split,licence_spdx,n_responses,mean_PAQ1_pleasant,mean_PAQ2_vibrant,mean_PAQ3_eventful,mean_PAQ4_chaotic,mean_PAQ5_annoying,mean_PAQ6_monotonous,mean_PAQ7_uneventful,mean_PAQ8_calm,mean_ISOPleasant,mean_ISOEventful,LAeq_dBA,loudness_N_sone,sharpness_S_acum,roughness_R_asper,fluctuation_strength_F_vacil,tonality_T_tu
ISD_CamdenTown_CamdenTown1_CT115,ISD,CamdenTown,CamdenTown1,CT115,51.539124,-0.142624,0.0,,ISD_CamdenTown_CT115_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,2,2.5,4.5,4.5,4.5,3.5,4.0,2.0,2.5,-0.2134,0.4419,,,,,,
ISD_CamdenTown_CamdenTown1_CT116,ISD,CamdenTown,CamdenTown1,CT116,51.539124,-0.142624,0.0,33.71,ISD_CamdenTown_CT116_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,2,2.5,2.0,4.5,4.0,3.0,3.0,2.5,2.0,-0.2714,0.2803,71.28,39.8,2.11,0.0522,0.0134,0.251
ISD_CamdenTown_CamdenTown1_CT117,ISD,CamdenTown,CamdenTown1,CT117,51.539124,-0.142624,0.0,32.68,ISD_CamdenTown_CT117_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,2,1.5,4.0,3.5,3.5,3.0,2.5,2.0,1.0,-0.2286,0.4482,69.23,31.9,2.04,0.0394,0.0112,0.295
ISD_CamdenTown_CamdenTown1_CT118,ISD,CamdenTown,CamdenTown1,CT118,51.539124,-0.142624,0.0,,ISD_CamdenTown_CT118_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,2,4.0,3.0,4.0,3.0,2.0,4.0,3.5,3.0,0.1339,-0.0214,,,,,,
ISD_CamdenTown_CamdenTown1_CT119,ISD,CamdenTown,CamdenTown1,CT119,51.539124,-0.142624,0.0,19.69,ISD_CamdenTown_CT119_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,1,1.0,4.0,5.0,5.0,5.0,2.0,2.0,1.0,-0.5607,0.75,67.18,26.6,2.01,0.0375,0.0069,0.169
ISD_CamdenTown_CamdenTown1_CT120,ISD,CamdenTown,CamdenTown1,CT120,51.539124,-0.142624,0.0,33.75,ISD_CamdenTown_CT120_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,1,4.0,5.0,5.0,2.0,3.0,2.0,1.0,3.0,0.3964,0.5607,71.87,38.4,2.31,0.0436,0.0193,0.235
ISD_CamdenTown_CamdenTown1_CT121,ISD,CamdenTown,CamdenTown1,CT121,51.539124,-0.142624,0.0,32.43,ISD_CamdenTown_CT121_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,-0.0732,0.0732,68.76,30.3,2.07,0.0429,0.00705,0.17
ISD_CamdenTown_CamdenTown1_CT122,ISD,CamdenTown,CamdenTown1,CT122,51.539124,-0.142624,0.0,31.79,ISD_CamdenTown_CT122_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,1,3.0,2.0,1.0,1.0,3.0,4.0,3.0,5.0,0.1464,-0.6464,71.0,40.7,2.06,0.0646,0.0211,0.258
ISD_CamdenTown_CamdenTown1_CT123,ISD,CamdenTown,CamdenTown1,CT123,51.539124,-0.142624,0.0,31.57,ISD_CamdenTown_CT123_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,1,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,0.1339,0.6768,69.61,33.8,2.15,0.0394,0.0108,0.202
ISD_CamdenTown_CamdenTown1_CT124,ISD,CamdenTown,CamdenTown1,CT124,51.539124,-0.142624,0.0,34.22,ISD_CamdenTown_CT124_binaural,ISD_CamdenTown_CamdenTown1_360,,CC-BY-4.0,2,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,-0.1464,0.1464,68.07,28.0,2.02,0.0373,0.0111,0.231
ISD_CamdenTown_CamdenTown2_CT201,ISD,CamdenTown,CamdenTown2,CT201,51.539124,-0.142624,0.0,33.75,ISD_CamdenTown_CT201_binaural,ISD_CamdenTown_CamdenTown2_360,,CC-BY-4.0,2,2.0,3.5,4.5,4.5,3.5,2.0,1.0,2.5,-0.1919,0.6187,67.96,27.0,2.03,0.0389,0.0184,0.245
ISD_CamdenTown_CamdenTown2_CT202,ISD,CamdenTown,CamdenTown2,CT202,51.539124,-0.142624,0.0,33.88,ISD_CamdenTown_CT202_binaural,ISD_CamdenTown_CamdenTown2_360,,CC-BY-4.0,2,3.5,4.0,4.5,5.0,2.0,2.5,2.0,1.0,-0.0277,0.6616,72.89,43.7,2.02,0.0633,0.0259,0.232
ISD_CamdenTown_CamdenTown2_CT203,ISD,CamdenTown,CamdenTown2,CT203,51.539124,-0.142624,0.0,31.87,ISD_CamdenTown_CT203_binaural,ISD_CamdenTown_CamdenTown2_360,,CC-BY-4.0,2,4.0,5.0,4.5,4.5,1.5,4.5,2.0,3.0,0.1857,0.4053,68.95,28.9,2.12,0.0401,0.033,0.192
ISD_CamdenTown_CamdenTown2_CT204,ISD,CamdenTown,CamdenTown2,CT204,51.539124,-0.142624,0.0,,ISD_CamdenTown_CT204_binaural,ISD_CamdenTown_CamdenTown2_360,,CC-BY-4.0,1,2.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,-0.1768,0.4268,,,,,,
ISD_CamdenTown_CamdenTown2_CT205,ISD,CamdenTown,CamdenTown2,CT205,51.539124,-0.142624,0.0,,ISD_CamdenTown_CT205_binaural,ISD_CamdenTown_CamdenTown2_360,,CC-BY-4.0,1,2.0,4.0,5.0,4.0,3.0,1.0,1.0,2.0,-0.0303,0.7803,,,,,,
ISD_CamdenTown_CamdenTown3_CT301,ISD,CamdenTown,CamdenTown3,CT301,51.539124,-0.142624,0.0,40.47,ISD_CamdenTown_CT301_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,2.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,-0.4268,0.4268,66.47,30.9,1.99,0.0331,0.00831,0.147
ISD_CamdenTown_CamdenTown3_CT302,ISD,CamdenTown,CamdenTown3,CT302,51.539124,-0.142624,0.0,,ISD_CamdenTown_CT302_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,2,1.5,4.0,3.0,3.5,2.5,3.0,3.0,1.5,-0.1768,0.2197,,,,,,
ISD_CamdenTown_CamdenTown3_CT304,ISD,CamdenTown,CamdenTown3,CT304,51.539124,-0.142624,0.0,,ISD_CamdenTown_CT304_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,1.0,4.0,5.0,1.0,3.0,2.0,1.0,1.0,-0.0607,0.5607,,,,,,
ISD_CamdenTown_CamdenTown3_CT305,ISD,CamdenTown,CamdenTown3,CT305,51.539124,-0.142624,0.0,48.46,ISD_CamdenTown_CT305_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,2,2.0,4.5,5.0,4.5,2.5,1.5,1.0,1.0,-0.0884,0.8902,82.52,66.1,2.79,0.0425,0.0158,1.16
ISD_CamdenTown_CamdenTown3_CT306,ISD,CamdenTown,CamdenTown3,CT306,51.539124,-0.142624,0.0,31.42,ISD_CamdenTown_CT306_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,4.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,0.1161,-0.1768,68.01,26.8,2.16,0.0415,0.0163,0.227
ISD_CamdenTown_CamdenTown3_CT308,ISD,CamdenTown,CamdenTown3,CT308,51.539124,-0.142624,0.0,33.37,ISD_CamdenTown_CT308_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,2,2.0,2.5,3.0,4.5,4.5,3.0,3.0,1.5,-0.5152,0.1831,85.39,78.6,4.89,0.0864,0.023,1.2
ISD_CamdenTown_CamdenTown3_CT309,ISD,CamdenTown,CamdenTown3,CT309,51.539124,-0.142624,0.0,45.58,ISD_CamdenTown_CT309_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,0.3536,0.3536,67.82,32.4,2.09,0.0354,0.00928,0.188
ISD_CamdenTown_CamdenTown3_CT310,ISD,CamdenTown,CamdenTown3,CT310,51.539124,-0.142624,0.0,32.37,ISD_CamdenTown_CT310_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,2.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,-0.4268,0.4268,71.02,35.5,2.3,0.0406,0.00988,0.295
ISD_CamdenTown_CamdenTown3_CT311,ISD,CamdenTown,CamdenTown3,CT311,51.539124,-0.142624,0.0,42.35,ISD_CamdenTown_CT311_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,2,3.0,3.0,3.0,3.5,2.0,3.0,3.0,2.0,-0.0063,0.1098,67.81,26.7,2.01,0.0407,0.0102,0.188
ISD_CamdenTown_CamdenTown3_CT312,ISD,CamdenTown,CamdenTown3,CT312,51.539124,-0.142624,0.0,39.75,ISD_CamdenTown_CT312_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,3,3.0,3.0,3.667,3.333,3.0,3.0,3.0,2.333,-0.0732,0.1423,68.74,35.6,2.09,0.0389,0.0121,0.219
ISD_CamdenTown_CamdenTown3_CT313,ISD,CamdenTown,CamdenTown3,CT313,51.539124,-0.142624,0.0,41.31,ISD_CamdenTown_CT313_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,2,2.0,4.0,4.0,4.0,3.0,1.5,1.5,2.5,-0.0303,0.5518,69.25,33.0,2.22,0.0399,0.0132,0.15
ISD_CamdenTown_CamdenTown3_CT314,ISD,CamdenTown,CamdenTown3,CT314,51.539124,-0.142624,0.0,37.76,ISD_CamdenTown_CT314_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,4.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,0.4571,0.8536,65.96,26.1,1.93,0.035,0.0107,0.32
ISD_CamdenTown_CamdenTown3_CT315,ISD,CamdenTown,CamdenTown3,CT315,51.539124,-0.142624,0.0,38.36,ISD_CamdenTown_CT315_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,3.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0,-0.1161,0.3232,69.3,32.5,2.16,0.0395,0.0128,0.195
ISD_CamdenTown_CamdenTown3_CT317,ISD,CamdenTown,CamdenTown3,CT317,51.539124,-0.142624,0.0,30.72,ISD_CamdenTown_CT317_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,2.0,3.0,4.0,5.0,2.0,1.0,3.0,1.0,-0.1464,0.5429,75.58,57.0,2.27,0.0598,0.0187,0.157
ISD_CamdenTown_CamdenTown3_CT318,ISD,CamdenTown,CamdenTown3,CT318,51.539124,-0.142624,0.0,42.49,ISD_CamdenTown_CT318_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,2,2.0,5.0,4.5,5.0,3.0,2.5,1.0,1.0,-0.2134,0.8384,67.62,28.0,2.04,0.0406,0.0163,0.192
ISD_CamdenTown_CamdenTown3_CT319,ISD,CamdenTown,CamdenTown3,CT319,51.539124,-0.142624,0.0,37.11,ISD_CamdenTown_CT319_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,0.3107,0.5,69.99,30.4,2.29,0.0379,0.0134,0.184
ISD_CamdenTown_CamdenTown3_CT320,ISD,CamdenTown,CamdenTown3,CT320,51.539124,-0.142624,0.0,30.81,ISD_CamdenTown_CT320_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,5.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,-0.2929,0.1464,72.29,36.6,2.38,0.0463,0.0101,0.406
ISD_CamdenTown_CamdenTown3_CT321,ISD,CamdenTown,CamdenTown3,CT321,51.539124,-0.142624,0.0,30.66,ISD_CamdenTown_CT321_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,2,3.5,4.5,4.0,3.5,2.5,2.0,1.5,1.5,0.1402,0.5884,67.48,28.9,1.94,0.036,0.0138,0.228
ISD_CamdenTown_CamdenTown3_CT322,ISD,CamdenTown,CamdenTown3,CT322,51.539124,-0.142624,0.0,31.34,ISD_CamdenTown_CT322_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,2,3.0,4.0,4.5,2.0,4.0,1.0,1.5,1.0,0.0429,0.6036,71.38,32.5,2.16,0.0397,0.0268,0.36
ISD_CamdenTown_CamdenTown3_CT323,ISD,CamdenTown,CamdenTown3,CT323,51.53917323,-0.142602241,0.0,48.32,ISD_CamdenTown_CT323_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,2,3.5,3.0,4.0,3.5,3.5,1.5,2.5,2.5,0.0366,0.3384,81.3,65.0,2.9,0.0435,0.0546,0.715
ISD_CamdenTown_CamdenTown3_CT324,ISD,CamdenTown,CamdenTown3,CT324,51.539124,-0.142624,0.0,33.48,ISD_CamdenTown_CT324_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,4.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,0.1768,0.9268,66.97,30.0,1.91,0.0362,0.00886,0.19
ISD_CamdenTown_CamdenTown3_CT325,ISD,CamdenTown,CamdenTown3,CT325,51.539124,-0.142624,0.0,40.73,ISD_CamdenTown_CT325_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,3.0,4.0,4.0,2.0,3.0,3.0,3.0,1.0,0.0,0.25,66.74,26.7,1.87,0.0359,0.015,0.216
ISD_CamdenTown_CamdenTown3_CT326,ISD,CamdenTown,CamdenTown3,CT326,51.539124,-0.142624,0.0,36.15,ISD_CamdenTown_CT326_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,4.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,0.3839,0.1339,83.81,78.0,2.87,0.0428,0.15,0.619
ISD_CamdenTown_CamdenTown3_CT327,ISD,CamdenTown,CamdenTown3,CT327,51.539124,-0.142624,0.0,46.65,ISD_CamdenTown_CT327_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,2,4.5,3.5,5.0,3.0,2.0,2.5,1.5,2.0,0.2589,0.5089,69.5,31.1,2.07,0.0431,0.0157,0.205
ISD_CamdenTown_CamdenTown3_CT328,ISD,CamdenTown,CamdenTown3,CT328,51.539124,-0.142624,0.0,50.36,ISD_CamdenTown_CT328_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,2,2.0,2.5,3.5,5.0,2.5,3.0,1.5,1.5,-0.3447,0.4268,70.1,36.8,2.18,0.0377,0.0114,0.231
ISD_CamdenTown_CamdenTown3_CT329,ISD,CamdenTown,CamdenTown3,CT329,51.539124,-0.142624,0.0,32.11,ISD_CamdenTown_CT329_binaural,ISD_CamdenTown_CamdenTown3_360,,CC-BY-4.0,1,3.0,3.0,4.0,3.0,4.0,1.0,3.0,4.0,0.1161,0.1768,68.03,27.8,2.07,0.0383,0.0144,0.227
ISD_CamdenTown_CamdenTown4_CT401,ISD,CamdenTown,CamdenTown4,CT401,51.5269453,-0.1296177,0.0,35.06,ISD_CamdenTown_CT401_binaural,ISD_CamdenTown_CamdenTown4_360,,CC-BY-4.0,1,4.0,4.0,4.0,2.0,3.0,5.0,1.0,4.0,0.1768,0.091,86.3,79.9,2.54,0.103,0.234,1.29
ISD_CamdenTown_CamdenTown4_CT402,ISD,CamdenTown,CamdenTown4,CT402,51.5391535,-0.1426514,0.0,31.49,ISD_CamdenTown_CT402_binaural,ISD_CamdenTown_CamdenTown4_360,,CC-BY-4.0,1,1.0,4.0,4.0,5.0,4.0,3.0,2.0,1.0,-0.5303,0.5732,76.76,46.3,2.14,0.0683,0.05,0.614
ISD_CamdenTown_CamdenTown4_CT403,ISD,CamdenTown,CamdenTown4,CT403,51.5391397,-0.1426483,0.0,36.36,ISD_CamdenTown_CT403_binaural,ISD_CamdenTown_CamdenTown4_360,,CC-BY-4.0,1,2.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,0.0,0.6036,78.11,53.7,2.39,0.114,0.036,0.47
ISD_CamdenTown_CamdenTown4_CT404,ISD,CamdenTown,CamdenTown4,CT404,51.5277106,-0.1312547,0.0,31.37,ISD_CamdenTown_CT404_binaural,ISD_CamdenTown_CamdenTown4_360,,CC-BY-4.0,1,2.0,3.0,4.0,5.0,4.0,3.0,3.0,1.0,-0.5,0.3964,76.08,45.5,2.42,0.048,0.0814,0.385
ISD_CamdenTown_CamdenTown4_CT405,ISD,CamdenTown,CamdenTown4,CT405,51.5391307,-0.1426918,0.0,31.79,ISD_CamdenTown_CT405_binaural,ISD_CamdenTown_CamdenTown4_360,,CC-BY-4.0,1,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,-0.4142,0.0,74.08,36.5,2.65,0.0419,0.0479,0.773
ISD_CamdenTown_CamdenTown4_CT406,ISD,CamdenTown,CamdenTown4,CT406,51.5391228,-0.1426463,0.0,34.53,ISD_CamdenTown_CT406_binaural,ISD_CamdenTown_CamdenTown4_360,,CC-BY-4.0,1,1.0,3.0,2.0,5.0,4.0,5.0,2.0,1.0,-0.75,0.1464,72.27,39.5,2.25,0.044,0.0268,0.236
ISD_CamdenTown_CamdenTown4_CT407,ISD,CamdenTown,CamdenTown4,CT407,51.5390784,-0.1427011,0.0,35.57,ISD_CamdenTown_CT407_binaural,ISD_CamdenTown_CamdenTown4_360,,CC-BY-4.0,2,2.0,2.5,2.5,2.0,4.0,2.0,1.5,1.5,-0.2071,0.1768,73.78,35.5,2.14,0.0433,0.0315,0.356
ISD_CamdenTown_CamdenTown4_CT408,ISD,CamdenTown,CamdenTown4,CT408,51.5391651,-0.1426822,0.0,34.27,ISD_CamdenTown_CT408_binaural,ISD_CamdenTown_CamdenTown4_360,,CC-BY-4.0,1,1.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,-0.5,-0.1893,73.21,43.7,2.42,0.0426,0.0297,0.192
ISD_CamdenTown_CamdenTown4_CT410,ISD,CamdenTown,CamdenTown4,CT410,51.5389968,-0.1426585,0.0,,ISD_CamdenTown_CT410_binaural,ISD_CamdenTown_CamdenTown4_360,,CC-BY-4.0,2,3.0,3.5,3.5,3.5,4.0,3.5,3.5,1.0,-0.2866,0.1831,,,,,,
ISD_CamdenTown_CamdenTown4_CT412,ISD,CamdenTown,CamdenTown4,CT412,51.5391964,-0.1425443,0.0,31.95,ISD_CamdenTown_CT412_binaural,ISD_CamdenTown_CamdenTown4_360,,CC-BY-4.0,5,2.6,3.6,4.4,4.4,2.4,2.0,1.4,1.4,-0.0818,0.6475,77.19,45.0,1.9,0.0593,0.078,0.584
ISD_CamdenTown_CamdenTown4_CT413,ISD,CamdenTown,CamdenTown4,CT413,51.5391624,-0.1426585,0.0,38.31,ISD_CamdenTown_CT413_binaural,ISD_CamdenTown_CamdenTown4_360,,CC-BY-4.0,1,2.0,5.0,4.0,4.0,2.0,1.0,2.0,1.0,0.0732,0.7197,77.17,45.4,2.01,0.0617,0.0704,0.527
ISD_CamdenTown_CamdenTown4_CT414,ISD,CamdenTown,CamdenTown4,CT414,51.5391729,-0.1425609,0.0,30.0,ISD_CamdenTown_CT414_binaural,ISD_CamdenTown_CamdenTown4_360,,CC-BY-4.0,3,1.0,4.0,3.0,4.667,4.667,4.0,3.0,1.0,-0.6482,0.2685,81.2,62.3,2.75,0.0679,0.17,0.555
ISD_CamdenTown_CamdenTown4_CT415,ISD,CamdenTown,CamdenTown4,CT415,51.5391535,-0.1426514,0.0,36.83,ISD_CamdenTown_CT415_binaural,ISD_CamdenTown_CamdenTown4_360,,CC-BY-4.0,1,1.0,5.0,2.0,5.0,2.0,5.0,2.0,1.0,-0.3964,0.2929,81.18,63.1,2.93,0.0858,0.153,0.321
ISD_CampoPrincipe_CampoPrincipe1_CP0,ISD,CampoPrincipe,CampoPrincipe1,CP0,37.172598,-3.59129,0.0,30.67,ISD_CampoPrincipe_CP0_binaural,ISD_CampoPrincipe_CampoPrincipe1_360,,CC-BY-4.0,31,4.355,2.8,3.3,1.806,1.677,2.323,2.774,4.065,0.4777,-0.076,65.09,20.2,2.12,0.0347,0.0176,0.185
ISD_CampoPrincipe_CampoPrincipe1_CP00,ISD,CampoPrincipe,CampoPrincipe1,CP00,37.172598,-3.59129,0.0,31.09,ISD_CampoPrincipe_CP00_binaural,ISD_CampoPrincipe_CampoPrincipe1_360,,CC-BY-4.0,25,4.64,2.96,3.625,1.56,1.522,2.32,2.52,4.12,0.5572,-0.0262,65.74,21.5,2.06,0.037,0.0265,0.208
ISD_CampoPrincipe_CampoPrincipe1_CP1,ISD,CampoPrincipe,CampoPrincipe1,CP1,37.172598,-3.59129,0.0,30.63,ISD_CampoPrincipe_CP1_binaural,ISD_CampoPrincipe_CampoPrincipe1_360,,CC-BY-4.0,6,5.0,2.667,2.5,1.333,1.0,3.0,3.333,4.5,0.6217,-0.3425,58.38,14.6,2.23,0.0249,0.012,0.102
ISD_CampoPrincipe_CampoPrincipe1_CP10,ISD,CampoPrincipe,CampoPrincipe1,CP10,37.172598,-3.59129,0.0,,ISD_CampoPrincipe_CP10_binaural,ISD_CampoPrincipe_CampoPrincipe1_360,,CC-BY-4.0,3,5.0,3.667,3.333,1.0,1.333,2.0,2.333,4.333,0.7458,-0.0184,,,,,,
ISD_CampoPrincipe_CampoPrincipe1_CP11,ISD,CampoPrincipe,CampoPrincipe1,CP11,37.172598,-3.59129,0.0,35.02,ISD_CampoPrincipe_CP11_binaural,ISD_CampoPrincipe_CampoPrincipe1_360,,CC-BY-4.0,2,4.5,4.0,4.5,1.0,2.0,3.0,1.0,4.0,0.5518,0.216,57.71,13.6,2.18,0.0261,0.0118,0.0997
