response_id,clip_id,participant_id,language,PAQ1_pleasant,PAQ2_vibrant,PAQ3_eventful,PAQ4_chaotic,PAQ5_annoying,PAQ6_monotonous,PAQ7_uneventful,PAQ8_calm,ISOPleasant,ISOEventful,age,gender
ISD_CarloV_CarloV2_2CV62_R1417,ISD_CarloV_CarloV2_2CV62,1417,eng,4.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,0.25,0.0607,22.0,Female
ISD_CarloV_CarloV2_2CV62_R1418,ISD_CarloV_CarloV2_2CV62,1418,eng,5.0,5.0,4.0,2.0,1.0,3.0,2.0,,,,21.0,Male
ISD_CarloV_CarloV2_2CV62_R1419,ISD_CarloV_CarloV2_2CV62,1419,eng,5.0,4.0,4.0,2.0,1.0,3.0,2.0,4.0,0.6339,0.1339,21.0,Male
ISD_CarloV_CarloV2_2CV62_R1420,ISD_CarloV_CarloV2_2CV62,1420,eng,5.0,5.0,4.0,1.0,,4.0,2.0,2.0,,,21.0,Male
ISD_CarloV_CarloV2_2CV62_R1421,ISD_CarloV_CarloV2_2CV62,1421,eng,5.0,5.0,3.0,1.0,1.0,3.0,3.0,5.0,0.8536,-0.1464,20.0,Female
ISD_CarloV_CarloV2_2CV62_R1422,ISD_CarloV_CarloV2_2CV62,1422,eng,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,0.4142,21.0,Female
ISD_CarloV_CarloV2_2CV62_R1423,ISD_CarloV_CarloV2_2CV62,1423,eng,4.0,5.0,4.0,2.0,2.0,2.0,2.0,3.0,0.5,0.3536,21.0,Male
ISD_CarloV_CarloV2_2CV62_R1424,ISD_CarloV_CarloV2_2CV62,1424,eng,5.0,5.0,4.0,5.0,2.0,5.0,1.0,4.0,0.2374,0.3839,19.0,Female
ISD_SanMarco_SanMarco1_AM01_R22,ISD_SanMarco_SanMarco1_AM01,22,eng,4.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,0.1036,0.6464,,Male
ISD_SanMarco_SanMarco1_AM01_R23,ISD_SanMarco_SanMarco1_AM01,23,eng,4.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,-0.0429,-0.0607,,Female
ISD_SanMarco_SanMarco1_AM05_R29,ISD_SanMarco_SanMarco1_AM05,29,eng,5.0,3.0,3.0,1.0,1.0,1.0,5.0,4.0,0.7803,-0.2803,,Male
ISD_SanMarco_SanMarco1_AM06_R30,ISD_SanMarco_SanMarco1_AM06,30,eng,3.0,4.0,3.0,4.0,2.0,1.0,3.0,2.0,0.1768,0.3661,,Female
ISD_SanMarco_SanMarco1_AM06_R31,ISD_SanMarco_SanMarco1_AM06,31,eng,3.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,0.1768,-0.159,,Male
ISD_SanMarco_SanMarco1_AM07_R32,ISD_SanMarco_SanMarco1_AM07,32,eng,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.7071,0.7071,,Female
ISD_PlazaBibRambla_PlazaBibRambla1_BIB11_R1457,ISD_PlazaBibRambla_PlazaBibRambla1_BIB11,1457,eng,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,0.2071,0.0,69.0,Male
ISD_PlazaBibRambla_PlazaBibRambla1_BIB14_R1444,ISD_PlazaBibRambla_PlazaBibRambla1_BIB14,1444,eng,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,0.7803,0.6339,32.0,Male
ISD_PlazaBibRambla_PlazaBibRambla1_BIB5_R1454,ISD_PlazaBibRambla_PlazaBibRambla1_BIB5,1454,eng,5.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,0.5607,0.2929,64.0,Female
ISD_PlazaBibRambla_PlazaBibRambla1_BIB5_R1455,ISD_PlazaBibRambla_PlazaBibRambla1_BIB5,1455,eng,5.0,3.0,3.0,1.0,,1.0,3.0,5.0,,,64.0,Female
ISD_PlazaBibRambla_PlazaBibRambla1_BIB7_R1453,ISD_PlazaBibRambla_PlazaBibRambla1_BIB7,1453,eng,5.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,0.5607,0.1464,54.0,Male
ISD_CamdenTown_CamdenTown1_CT101_R525,ISD_CamdenTown_CamdenTown1_CT101,525,eng,2.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,-0.2197,0.4268,23.0,Male
ISD_CamdenTown_CamdenTown1_CT101_R526,ISD_CamdenTown_CamdenTown1_CT101,526,eng,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,0.0,0.25,22.0,Male
ISD_CamdenTown_CamdenTown1_CT101_R561,ISD_CamdenTown_CamdenTown1_CT101,561,eng,3.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,-0.4697,0.1768,24.0,Female
ISD_CamdenTown_CamdenTown1_CT102_R560,ISD_CamdenTown_CamdenTown1_CT102,560,eng,4.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,0.1036,-0.75,28.0,Male
ISD_CamdenTown_CamdenTown1_CT103_R527,ISD_CamdenTown_CamdenTown1_CT103,527,eng,3.0,5.0,4.0,4.0,2.0,1.0,1.0,2.0,0.25,0.75,56.0,Male
ISD_CamdenTown_CamdenTown1_CT104_R528,ISD_CamdenTown_CamdenTown1_CT104,528,eng,2.0,5.0,4.0,4.0,2.0,2.0,1.0,2.0,0.0732,0.6768,18.0,Male
ISD_CamdenTown_CamdenTown1_CT105_R529,ISD_CamdenTown_CamdenTown1_CT105,529,eng,4.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,-0.0429,0.5,24.0,Female
ISD_CamdenTown_CamdenTown1_CT105_R555,ISD_CamdenTown_CamdenTown1_CT105,555,eng,3.0,3.0,2.0,1.0,3.0,2.0,5.0,5.0,0.3661,-0.5303,27.0,Female
ISD_CamdenTown_CamdenTown1_CT106_R530,ISD_CamdenTown_CamdenTown1_CT106,530,eng,2.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,-0.2071,0.0858,30.0,Male
ISD_CamdenTown_CamdenTown1_CT107_R559,ISD_CamdenTown_CamdenTown1_CT107,559,eng,4.0,4.0,3.0,4.0,4.0,1.0,3.0,2.0,0.0732,0.3661,64.0,Male
ISD_CamdenTown_CamdenTown1_CT108_R531,ISD_CamdenTown_CamdenTown1_CT108,531,eng,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,-0.1464,0.1464,63.0,Female
ISD_CamdenTown_CamdenTown1_CT109_R532,ISD_CamdenTown_CamdenTown1_CT109,532,eng,3.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,0.1036,1.0,19.0,Female
ISD_CamdenTown_CamdenTown1_CT109_R557,ISD_CamdenTown_CamdenTown1_CT109,557,eng,4.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,-0.1161,0.3232,19.0,Female
ISD_CamdenTown_CamdenTown1_CT109_R558,ISD_CamdenTown_CamdenTown1_CT109,558,eng,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,-0.1464,0.3536,19.0,Female
ISD_CamdenTown_CamdenTown1_CT110_R556,ISD_CamdenTown_CamdenTown1_CT110,556,eng,3.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,-0.0303,-0.0126,22.0,Male
ISD_CamdenTown_CamdenTown1_CT111_R533,ISD_CamdenTown_CamdenTown1_CT111,533,eng,1.0,4.0,1.0,4.0,5.0,5.0,4.0,5.0,-0.4142,-0.4571,59.0,Female
ISD_CamdenTown_CamdenTown1_CT111_R552,ISD_CamdenTown_CamdenTown1_CT111,552,eng,2.0,1.0,1.0,5.0,3.0,4.0,4.0,1.0,-0.6161,-0.2374,67.0,Male
ISD_CamdenTown_CamdenTown1_CT112_R534,ISD_CamdenTown_CamdenTown1_CT112,534,eng,2.0,5.0,5.0,5.0,2.0,1.0,1.0,2.0,0.0732,0.9268,20.0,Female
ISD_CamdenTown_CamdenTown1_CT112_R554,ISD_CamdenTown_CamdenTown1_CT112,554,eng,2.0,3.0,4.0,5.0,3.0,3.0,2.0,1.0,-0.3964,0.5,20.0,Female
ISD_CamdenTown_CamdenTown1_CT113_R535,ISD_CamdenTown_CamdenTown1_CT113,535,eng,4.0,5.0,5.0,2.0,4.0,2.0,4.0,2.0,0.2197,0.3232,49.0,Female
ISD_CamdenTown_CamdenTown1_CT113_R553,ISD_CamdenTown_CamdenTown1_CT113,553,eng,4.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,0.3839,0.2626,49.0,Male
ISD_CamdenTown_CamdenTown1_CT114_R536,ISD_CamdenTown_CamdenTown1_CT114,536,eng,2.0,4.0,5.0,4.0,3.0,2.0,1.0,1.0,-0.1768,0.7803,42.0,Female
ISD_CamdenTown_CamdenTown1_CT115_R537,ISD_CamdenTown_CamdenTown1_CT115,537,eng,3.0,5.0,5.0,4.0,4.0,4.0,1.0,3.0,-0.1036,0.5607,26.0,Female
ISD_CamdenTown_CamdenTown1_CT115_R551,ISD_CamdenTown_CamdenTown1_CT115,551,eng,2.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,-0.3232,0.3232,25.0,Female
ISD_CamdenTown_CamdenTown1_CT116_R538,ISD_CamdenTown_CamdenTown1_CT116,538,eng,2.0,3.0,5.0,4.0,2.0,3.0,1.0,2.0,-0.1464,0.5607,60.0,Male
ISD_CamdenTown_CamdenTown1_CT116_R550,ISD_CamdenTown_CamdenTown1_CT116,550,eng,3.0,1.0,4.0,4.0,4.0,3.0,4.0,2.0,-0.3964,0.0,38.0,Male
ISD_CamdenTown_CamdenTown1_CT117_R539,ISD_CamdenTown_CamdenTown1_CT117,539,eng,2.0,4.0,4.0,4.0,2.0,1.0,3.0,1.0,0.0,0.5429,21.0,Female
ISD_CamdenTown_CamdenTown1_CT117_R549,ISD_CamdenTown_CamdenTown1_CT117,549,eng,1.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,-0.4571,0.3536,21.0,Female
ISD_CamdenTown_CamdenTown1_CT118_R540,ISD_CamdenTown_CamdenTown1_CT118,540,eng,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,0.1036,-0.1464,24.0,Male
ISD_CamdenTown_CamdenTown1_CT118_R548,ISD_CamdenTown_CamdenTown1_CT118,548,eng,5.0,4.0,5.0,4.0,2.0,5.0,4.0,3.0,0.1642,0.1036,26.0,Male
ISD_CamdenTown_CamdenTown1_CT119_R541,ISD_CamdenTown_CamdenTown1_CT119,541,eng,1.0,4.0,5.0,5.0,5.0,2.0,2.0,1.0,-0.5607,0.75,53.0,Male
ISD_CamdenTown_CamdenTown1_CT120_R542,ISD_CamdenTown_CamdenTown1_CT120,542,eng,4.0,5.0,5.0,2.0,3.0,2.0,1.0,3.0,0.3964,0.5607,18.0,Male
ISD_CamdenTown_CamdenTown1_CT121_R547,ISD_CamdenTown_CamdenTown1_CT121,547,eng,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,-0.0732,0.0732,25.0,Male
ISD_CamdenTown_CamdenTown1_CT122_R543,ISD_CamdenTown_CamdenTown1_CT122,543,eng,3.0,2.0,1.0,1.0,3.0,4.0,3.0,5.0,0.1464,-0.6464,40.0,Male
ISD_CamdenTown_CamdenTown1_CT123_R544,ISD_CamdenTown_CamdenTown1_CT123,544,eng,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,0.1339,0.6768,28.0,Male
ISD_CamdenTown_CamdenTown1_CT124_R545,ISD_CamdenTown_CamdenTown1_CT124,545,eng,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,-0.2197,0.1768,19.0,Female
ISD_CamdenTown_CamdenTown1_CT124_R546,ISD_CamdenTown_CamdenTown1_CT124,546,eng,3.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,-0.0732,0.1161,18.0,Female
ISD_CamdenTown_CamdenTown2_CT201_R563,ISD_CamdenTown_CamdenTown2_CT201,563,eng,2.0,3.0,4.0,5.0,4.0,3.0,1.0,4.0,-0.2803,0.3839,25.0,Female
ISD_CamdenTown_CamdenTown2_CT201_R570,ISD_CamdenTown_CamdenTown2_CT201,570,eng,2.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,-0.1036,0.8536,25.0,Male
ISD_CamdenTown_CamdenTown2_CT202_R564,ISD_CamdenTown_CamdenTown2_CT202,564,eng,3.0,4.0,5.0,5.0,1.0,3.0,2.0,1.0,-0.0126,0.6768,43.0,Female
ISD_CamdenTown_CamdenTown2_CT202_R569,ISD_CamdenTown_CamdenTown2_CT202,569,eng,4.0,4.0,4.0,5.0,3.0,2.0,2.0,1.0,-0.0429,0.6464,49.0,Female
ISD_CamdenTown_CamdenTown2_CT203_R567,ISD_CamdenTown_CamdenTown2_CT203,567,eng,4.0,5.0,5.0,5.0,2.0,5.0,2.0,3.0,0.0607,0.4571,19.0,Male
ISD_CamdenTown_CamdenTown2_CT203_R568,ISD_CamdenTown_CamdenTown2_CT203,568,eng,4.0,5.0,4.0,4.0,1.0,4.0,2.0,3.0,0.3107,0.3536,27.0,Female
ISD_CamdenTown_CamdenTown2_CT204_R565,ISD_CamdenTown_CamdenTown2_CT204,565,eng,2.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,-0.1768,0.4268,50.0,Female
ISD_CamdenTown_CamdenTown2_CT205_R566,ISD_CamdenTown_CamdenTown2_CT205,566,eng,2.0,4.0,5.0,4.0,3.0,1.0,1.0,2.0,-0.0303,0.7803,18.0,Male
ISD_CamdenTown_CamdenTown3_CT301_R585,ISD_CamdenTown_CamdenTown3_CT301,585,eng,2.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,-0.4268,0.4268,49.0,Male
ISD_CamdenTown_CamdenTown3_CT302_R586,ISD_CamdenTown_CamdenTown3_CT302,586,eng,1.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,-0.3536,0.3536,29.0,Male
ISD_CamdenTown_CamdenTown3_CT302_R615,ISD_CamdenTown_CamdenTown3_CT302,615,eng,2.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,0.0,0.0858,29.0,Female
ISD_CamdenTown_CamdenTown3_CT304_R624,ISD_CamdenTown_CamdenTown3_CT304,624,eng,1.0,4.0,5.0,1.0,3.0,2.0,1.0,1.0,-0.0607,0.5607,53.0,Male
ISD_CamdenTown_CamdenTown3_CT305_R588,ISD_CamdenTown_CamdenTown3_CT305,588,eng,3.0,4.0,5.0,4.0,1.0,2.0,1.0,1.0,0.1339,0.7803,45.0,Female
ISD_CamdenTown_CamdenTown3_CT305_R614,ISD_CamdenTown_CamdenTown3_CT305,614,eng,1.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,-0.3107,1.0,19.0,Female
ISD_CamdenTown_CamdenTown3_CT306_R589,ISD_CamdenTown_CamdenTown3_CT306,589,eng,4.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,0.1161,-0.1768,41.0,Male
ISD_CamdenTown_CamdenTown3_CT308_R590,ISD_CamdenTown_CamdenTown3_CT308,590,eng,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,-0.4268,0.0732,29.0,Female
ISD_CamdenTown_CamdenTown3_CT308_R613,ISD_CamdenTown_CamdenTown3_CT308,613,eng,2.0,3.0,3.0,5.0,5.0,3.0,3.0,1.0,-0.6036,0.2929,25.0,Female
ISD_CamdenTown_CamdenTown3_CT309_R591,ISD_CamdenTown_CamdenTown3_CT309,591,eng,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,0.3536,0.3536,31.0,Male
ISD_CamdenTown_CamdenTown3_CT310_R592,ISD_CamdenTown_CamdenTown3_CT310,592,eng,2.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,-0.4268,0.4268,18.0,Male
ISD_CamdenTown_CamdenTown3_CT311_R593,ISD_CamdenTown_CamdenTown3_CT311,593,eng,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,-0.1464,0.1464,59.0,Female
ISD_CamdenTown_CamdenTown3_CT311_R623,ISD_CamdenTown_CamdenTown3_CT311,623,eng,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,0.1339,0.0732,58.0,Female
ISD_CamdenTown_CamdenTown3_CT312_R594,ISD_CamdenTown_CamdenTown3_CT312,594,eng,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,0.1768,-0.0732,19.0,Male
ISD_CamdenTown_CamdenTown3_CT312_R595,ISD_CamdenTown_CamdenTown3_CT312,595,eng,3.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,-0.0429,0.1464,19.0,Non-conforming
ISD_CamdenTown_CamdenTown3_CT312_R622,ISD_CamdenTown_CamdenTown3_CT312,622,eng,2.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,-0.3536,0.3536,18.0,Male
ISD_CamdenTown_CamdenTown3_CT313_R596,ISD_CamdenTown_CamdenTown3_CT313,596,eng,2.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,-0.1339,0.6768,23.0,Female
ISD_CamdenTown_CamdenTown3_CT313_R621,ISD_CamdenTown_CamdenTown3_CT313,621,eng,2.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,0.0732,0.4268,22.0,Female
ISD_CamdenTown_CamdenTown3_CT314_R597,ISD_CamdenTown_CamdenTown3_CT314,597,eng,4.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,0.4571,0.8536,28.0,Female
ISD_CamdenTown_CamdenTown3_CT315_R598,ISD_CamdenTown_CamdenTown3_CT315,598,eng,3.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0,-0.1161,0.3232,19.0,Female
ISD_CamdenTown_CamdenTown3_CT317_R599,ISD_CamdenTown_CamdenTown3_CT317,599,eng,2.0,3.0,4.0,5.0,2.0,1.0,3.0,1.0,-0.1464,0.5429,26.0,Male
ISD_CamdenTown_CamdenTown3_CT318_R600,ISD_CamdenTown_CamdenTown3_CT318,600,eng,2.0,5.0,4.0,5.0,3.0,3.0,1.0,1.0,-0.25,0.75,25.0,Male
ISD_CamdenTown_CamdenTown3_CT318_R611,ISD_CamdenTown_CamdenTown3_CT318,611,eng,2.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,-0.1768,0.9268,23.0,Female
ISD_CamdenTown_CamdenTown3_CT319_R601,ISD_CamdenTown_CamdenTown3_CT319,601,eng,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,0.3107,0.5,32.0,Female
ISD_CamdenTown_CamdenTown3_CT320_R602,ISD_CamdenTown_CamdenTown3_CT320,602,eng,5.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,-0.2929,0.1464,55.0,Male
ISD_CamdenTown_CamdenTown3_CT321_R603,ISD_CamdenTown_CamdenTown3_CT321,603,eng,3.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,0.0732,0.4268,26.0,Male
ISD_CamdenTown_CamdenTown3_CT321_R610,ISD_CamdenTown_CamdenTown3_CT321,610,eng,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,0.2071,0.75,21.0,Male
ISD_CamdenTown_CamdenTown3_CT322_R604,ISD_CamdenTown_CamdenTown3_CT322,604,eng,4.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,0.1893,0.7071,40.0,Female
ISD_CamdenTown_CamdenTown3_CT322_R620,ISD_CamdenTown_CamdenTown3_CT322,620,eng,2.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,-0.1036,0.5,32.0,Female
ISD_CamdenTown_CamdenTown3_CT324_R609,ISD_CamdenTown_CamdenTown3_CT324,609,eng,4.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,0.1768,0.9268,63.0,Female
ISD_CamdenTown_CamdenTown3_CT325_R605,ISD_CamdenTown_CamdenTown3_CT325,605,eng,3.0,4.0,4.0,2.0,3.0,3.0,3.0,1.0,0.0,0.25,23.0,Female
ISD_CamdenTown_CamdenTown3_CT326_R606,ISD_CamdenTown_CamdenTown3_CT326,606,eng,4.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,0.3839,0.1339,21.0,Female
ISD_CamdenTown_CamdenTown3_CT327_R616,ISD_CamdenTown_CamdenTown3_CT327,616,eng,5.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,0.3839,0.2374,20.0,Female
ISD_CamdenTown_CamdenTown3_CT327_R618,ISD_CamdenTown_CamdenTown3_CT327,618,eng,4.0,5.0,5.0,4.0,2.0,3.0,1.0,1.0,0.1339,0.7803,20.0,Female
ISD_CamdenTown_CamdenTown3_CT328_R607,ISD_CamdenTown_CamdenTown3_CT328,607,eng,3.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,-0.25,0.6036,58.0,Male
ISD_CamdenTown_CamdenTown3_CT328_R617,ISD_CamdenTown_CamdenTown3_CT328,617,eng,1.0,1.0,2.0,5.0,1.0,3.0,1.0,1.0,-0.4393,0.25,55.0,Female
ISD_CamdenTown_CamdenTown3_CT329_R608,ISD_CamdenTown_CamdenTown3_CT329,608,eng,3.0,3.0,4.0,3.0,4.0,1.0,3.0,4.0,0.1161,0.1768,24.0,Male
ISD_CamdenTown_CamdenTown4_CT401_R1219,ISD_CamdenTown_CamdenTown4_CT401,1219,eng,4.0,4.0,4.0,2.0,3.0,5.0,1.0,4.0,0.1768,0.091,27.0,Male
ISD_CamdenTown_CamdenTown4_CT402_R1239,ISD_CamdenTown_CamdenTown4_CT402,1239,eng,1.0,4.0,4.0,5.0,4.0,3.0,2.0,1.0,-0.5303,0.5732,37.0,Female
ISD_CamdenTown_CamdenTown4_CT403_R1220,ISD_CamdenTown_CamdenTown4_CT403,1220,eng,2.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,0.0,0.6036,65.0,Female
ISD_CamdenTown_CamdenTown4_CT404_R1221,ISD_CamdenTown_CamdenTown4_CT404,1221,eng,2.0,3.0,4.0,5.0,4.0,3.0,3.0,1.0,-0.5,0.3964,44.0,Female
