dataset_id,dataset_name,description,year,scenario,link,source_reference,access,access_status,licence_spdx,n_audio_samples,n_participants,n_assessments,total_duration_min,scale,modality_availability,audio_format,audio_ambisonics_available,audio_ambisonics_bit_depth,audio_ambisonics_sampling_rate_hz,audio_ambisonics_order,audio_ambisonics_clip_duration_s,audio_binaural_available,audio_binaural_bit_depth,audio_binaural_sampling_rate_hz,audio_binaural_clip_duration_s,audio_monaural_available,audio_monaural_clip_duration_s,visual_available,visual_format,visual_resolution,visual_frame_rate_fps,visual_clip_duration_s,annotation_framework,perceptual_framework,experimental_setting,rating_scale_information,recording_protocol,reproduction_protocol,acoustic_data_available,acoustic_measuring_instrument,environmental_data_available,metadata_availability,known_limitations,schema_version,provenance
GILMOUR2024,Gilmour et al.'s dataset,"Dataset to study mood recovery effects of natural vs. anthropogenic sounds, using 3-min clips rated by university students before and after a stressor.",,Natural,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0311487#pone.0311487.s005,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0311487#pone.0311487.s005,Partially,Partially,Unknown,5,68,340,15.0,5 audio samples; 68 participants; 340 assessments,audio,binaural,False,,,,,True,,,180.0,False,,False,,,,,"Self-reported mood scales (e.g., positive and negative affect)","Self-reported mood scales (e.g., positive and negative affect)",Lab-based,"Self-reported mood scales (e.g., positive and negative affect)",Natural recordings; audio=binaural; visual=none,Lab-based,False,,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
RUMMUKAINEN2014,Rummukainen et al.'s dataset,"Audiovisual urban scenes captured with ambisonics and 360° video, annotated with perceptual attributes via sorting tasks and interviews.",2014,Urban,http://research.spa.aalto.fi/publications/papers/plosone14-avscenes/,http://research.spa.aalto.fi/publications/papers/plosone14-avscenes/,Partially,Partially,Unknown,19,30,570,19.0,19 audio samples; 30 participants; 570 assessments,audio; visual,ambisonics,True,,48000,1,60.0,False,,,,False,,True,360 Video,,,,Perceptual attribute sorting and interviews (qualitative descriptors),Perceptual attribute sorting and interviews (qualitative descriptors),Lab-based,Perceptual attribute sorting and interviews (qualitative descriptors),Urban recordings; audio=ambisonics; visual=360 Video,Lab-based,False,,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
SUN2019,Sun et al.'s dataset,"VR-based immersive dataset of 360° audiovisual recordings from urban public open spaces, annotated for soundscape classification and perceptual attributes.",2019,Urban,https://www.sciencedirect.com/science/article/pii/S0169204618305899?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S0169204618305899?via%3Dihub,Fully,Fully,Unknown,50,40,2000,50.0,50 audio samples; 40 participants; 2000 assessments,audio; visual,ambisonics,True,,48000,1,60.0,False,,,,False,,True,360 Video,,,,"Soundscape classification (e.g., calm, exciting) and perceptual ratings","Soundscape classification (e.g., calm, exciting) and perceptual ratings",Lab-based,"Soundscape classification (e.g., calm, exciting) and perceptual ratings",Urban recordings; audio=ambisonics; visual=360 Video,Lab-based,False,,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
VERMA2020,Verma et al.'s dataset,Spatiotemporal dataset of urban audiovisual recordings in Mumbai annotated using ISO-based perceptual labels to predict human perception in an urban setting.,2020,Urban,https://data.mendeley.com/datasets/6fnn7vndwh/1,https://data.mendeley.com/datasets/6fnn7vndwh/1,Fully,Fully,Unknown,150,73,10512,25.0,150 audio samples; 73 participants; 10512 assessments,audio; visual,binaural,False,,,,,True,,,10.0,False,,True,Video,,,,ISO/TS 12913-2:2018,ISO/TS 12913-2:2018,Online,ISO 12913 PAQ; scale information preserved or documented at dataset/resource level.,Urban recordings; audio=binaural; visual=Video,Online,False,,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
CARVALHO2024,Carvalho et al.'s dataset,"Audiovisual urban recordings with 360° video and ambisonic audio, evaluated for the perceived affective qualities of urban soundscapes via online and VR experiments.",2024,Urban,https://doi.org/10.1371/journal.pone.0306261,https://doi.org/10.1371/journal.pone.0306261,Partially,Partially,Unknown,6,191,1146,72.0,6 audio samples; 191 participants; 1146 assessments,audio; visual; acoustic_metrics,ambisonics,True,,48000,1,600.0,False,,,,False,,True,360 Video,4K,,600.0,ISO/TS 12913-2:2018,ISO/TS 12913-2:2018,Lab-based,ISO 12913 PAQ; scale information preserved or documented at dataset/resource level.,Urban recordings; audio=ambisonics; visual=360 Video,Lab-based,True,Ambisonic microphone and sound level meter,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
TORRESIN2020,Torresin et al.'s dataset,"Indoor soundscape dataset with 20 one-minute loudspeaker-reproduced scenarios combining outdoor façade noise and indoor sounds, assessed with a 97-item perceptual questionnaire in a mock-up living room.",2020,Indoor,https://doi.org/10.1016/j.buildenv.2020.107152,https://doi.org/10.1016/j.buildenv.2020.107152,Partially,Partially,Unknown,20,35,640,20.0,20 audio samples; 35 participants; 640 assessments,audio,binaural,False,,,,,True,,,,False,,False,,,,,Custom,Custom,Lab-based,Custom,Indoor recordings; audio=binaural; visual=none,Lab-based,False,,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
TOET2020,Toet et al.'s dataset,Affective annotation of audio clips from IADS-E and short film fragments using the EmojiGrid to provide rich valence–arousal responses.,2020,Various,https://doi.org/10.17605/OSF.IO/GTZH4,https://doi.org/10.17605/OSF.IO/GTZH4,Fully,Fully,Unknown,77,150,11550,7.7,77 audio samples; 150 participants; 11550 assessments,audio,binaural,False,,,,,True,,44100,6.0,False,,False,,,,,EmojiGrid (valence–arousal grid ratings),EmojiGrid (valence–arousal grid ratings),Online,EmojiGrid valence-arousal ratings; not mapped onto ISO 12913 in current schema-level harmonisation.,Various recordings; audio=binaural; visual=none,Online,False,,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
MCMULLIN,McMullin et al.'s dataset,"Dataset of 200 natural auditory scenes evaluated for global properties such as openness, naturalness, transience, and navigability.",,Various,https://osf.io/zj4xe/,https://osf.io/zj4xe/,Fully,Fully,Unknown,200,68,13600,200.0,200 audio samples; 68 participants; 13600 assessments,audio,binaural,False,,,,,True,,44100,4.0,False,,False,,,,,Custom,Custom,Online,Custom,Various recordings; audio=binaural; visual=none,Online,False,,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
SILENZI_IN_QUOTA,The Silenzi in Quota dataset,"Field-recorded dataset of natural protected areas in the Italian Alps, assessed via ISO 12913 questionnaires and acoustic analysis to characterise quiet areas.",2023,Natural,https://zenodo.org/records/10253143,https://zenodo.org/records/10253143,Fully,Fully,Unknown,28,25,443,28.0,28 audio samples; 25 participants; 443 assessments,audio,binaural,False,,,,,True,,,60.0,False,,False,,,,,ISO/TS 12913-2:2018,ISO/TS 12913-2:2018,On-site,ISO 12913 PAQ; scale information preserved or documented at dataset/resource level.,Natural recordings; audio=binaural; visual=none,On-site,False,,False,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
LCS,The Lion City Soundscapes (LCS),"The Lion City Soundscapes (LCS) dataset contains over 24 hours of full-length urban soundscape recordings collected at 62 locations in Singapore, together with one-minute perceptually diverse excerpts generated using a modified partitioning around medoids (PAM) algorithm guided by Pleasantness–Eventfulness predictions.",2024,Urban,https://doi.org/10.21979/N9/AVHSBX,https://doi.org/10.21979/N9/AVHSBX,Fully,Fully,Unknown,62,,,62.0,62 audio samples,audio; visual; acoustic_metrics; environmental_context,ambisonics; binaural; monaural,True,24,48000,3,,True,24,48000,,True,,True,360 Video,4096×2048,,,ISO/TS 12913-2:2018,ISO/TS 12913-2:2018,Other,ISO 12913 PAQ; scale information preserved or documented at dataset/resource level.,Urban recordings; audio=ambisonics; binaural; monaural; visual=360 Video,Other,True,GRAS 146AE Free-field Microphone + HEAD Acoustics SQobold (Class 1),True,partial_catalogue_metadata,Catalogue-level metadata only; clip-level curation and benchmark readiness not yet implemented.,0.2.0,Compiled from reviewed dataset documentation and MOSAIQ schema revision 2026-06-15.
